,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,success,status_code,status_message
13,False,,,0.0,[],,900013.0,,ko,안녕자두야 명작동화 - 효녀자두 ＆ 엄지공주,안녕자두야 명작동화! 효녀자두와 엄지공주. 효녀 심청이 아닌 효녀 자두가 왔다! 눈이 불편한 아빠와 단둘이 살아가는 자두. 특효약인 인당수 연꽃을 구하러 배를 타는데...  엄지공주로 꽃에서 태어난 작은 자두! 독수리에 구렁이에 온갖 동물들이 잡아먹으려 하고 개미왕국의 윤석왕자의 노골적인 애정공세까지! 고달픈 인생이여~,0.6,/nUFkzvl4Qu9jpiAD21iin2lO8A0.jpg,[],[],,0.0,76.0,[],Released,,안녕자두야 명작동화 - 효녀자두 ＆ 엄지공주,False,0.0,0.0,,,
14,False,,,0.0,[],,900014.0,,ko,안녕자두야 스페셜 - 언더 더 씨,"안녕 자두야 스페셜 언더 더 씨! 바다에서 펼쳐지는 자두의 세가지 이야기.  하나, 별주부가 된 자두. 토끼잡으러 왔는데 토끼가 너무 착하다.  둘, 바다마녀의 마법실패! 그렇다면 인어자두의 선택은?  셋. 가족들과 휴양지로 떠났다가 무인도에 표류한다. 과연 무사히 탈출할 수 있을까?",0.6,/FreVmtF5bm02pTAyJN2EJiM4yb.jpg,[],[],,0.0,80.0,[],Released,,안녕자두야 스페셜 - 언더 더 씨,False,0.0,0.0,,,
15,False,/x63rW3qgpxJfW3HpWXxUS122M5B.jpg,,0.0,"[{'id': 18, 'name': '드라마'}, {'id': 36, 'name': '역사'}]",,900015.0,,zh,Master of Go: Yangzhou Debate,,0.6,/7Q06mgND39oaePL1p5iWfjEy45Z.jpg,"[{'id': 85736, 'logo_path': None, 'name': 'China Movie Channel (CMC)', 'origin_country': ''}]","[{'iso_3166_1': 'CN', 'name': 'China'}]",2010-08-20,0.0,0.0,[],Released,,Master of Go: Yangzhou Debate,False,0.0,0.0,,,
16,False,/m0eNFZL6jQcG13GQvWigZSyrhEw.jpg,,0.0,"[{'id': 18, 'name': '드라마'}, {'id': 36, 'name': '역사'}, {'id': 10752, 'name': '전쟁'}]",,900016.0,,zh,Da Huo Zhong,,0.6,/aWpsmyYfStrFoGE3uTmV5Q71Tbg.jpg,"[{'id': 164784, 'logo_path': None, 'name': 'Beijing Haisheng Cultural Development Company', 'origin_country': ''}]",[],2016-06-27,0.0,0.0,[],Released,,Da Huo Zhong,False,0.0,0.0,,,
17,False,/8MtbfnNLPtoNDgeqUDKp35Tlaqa.jpg,,0.0,"[{'id': 18, 'name': '드라마'}]",,900017.0,,zh,Superwoman and Physician,,0.6,/38hLr7wSCjmfMbWVAjIVBQVRlOz.jpg,"[{'id': 164550, 'logo_path': None, 'name': 'Jiangsu Longtian Cultural Industry Co', 'origin_country': ''}]","[{'iso_3166_1': 'CN', 'name': 'China'}]",2013-01-01,0.0,0.0,[],Released,,Superwoman and Physician,False,0.0,0.0,,,
18,False,/lxReR33ASWRiITCxWkmIdjfT48T.jpg,,0.0,"[{'id': 18, 'name': '드라마'}]",,900018.0,,zh,The Warrior of Deserts: Ban Chao,,0.6,/k8QNe8VecIzQHmapmGACHE7BXl.jpg,"[{'id': 164785, 'logo_path': None, 'name': 'Shenzhen Film Studio', 'origin_country': ''}]","[{'iso_3166_1': 'CN', 'name': 'China'}]",2017-01-01,0.0,0.0,[],Released,,The Warrior of Deserts: Ban Chao,False,0.0,0.0,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,False,34.0,The resource you requested could not be found.
20,False,/dkFW1xE5vYGBSufNswFMQufPcyF.jpg,,0.0,"[{'id': 18, 'name': '드라마'}]",,900020.0,tt14403860,zh,Big Bowl of Tea of Beijing,,0.6,/arL9GlqIkwxXnYGZ1BAAtlVBMqb.jpg,"[{'id': 85736, 'logo_path': None, 'name': 'China Movie Channel (CMC)', 'origin_country': ''}]","[{'iso_3166_1': 'CN', 'name': 'China'}]",2012-05-08,0.0,0.0,[],Released,,Big Bowl of Tea of Beijing,False,0.0,0.0,,,
21,False,,,0.0,[],,900021.0,,es,Costa Chica,,0.6,,[],[],,0.0,58.0,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,,Costa Chica,False,0.0,0.0,,,
22,False,/1bjzHnVa9ceTafzM2VUoE2NfI17.jpg,,0.0,"[{'id': 10749, 'name': '로맨스'}]",,900022.0,,zh,When Love Lost Memory,,0.6,/en8Iko8PLGE9QbVgCsH465TvE8z.jpg,"[{'id': 85736, 'logo_path': None, 'name': 'China Movie Channel (CMC)', 'origin_country': ''}]",[],2003-02-14,0.0,0.0,[],Released,,When Love Lost Memory,False,0.0,0.0,,,
