,success,status_code,status_message,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
0,False,34.0,The resource you requested could not be found.,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,False,,,0.0,[],,830001.0,,es,Blanca,,0.6,/hTRepJrk5dh88KDC4D96XHBlAnj.jpg,[],[],2021-03-13,0.0,10.0,[],Released,,Blanca,False,0.0,0.0
2,,,,False,,,0.0,[],,830002.0,,es,Coreografías de la transgresión,,0.6,/tmfrEuLfcgov31rnEsaahwIZI1d.jpg,[],[],2020-07-02,0.0,44.0,[],Released,,Coreografías de la transgresión,False,0.0,0.0
3,,,,False,,,0.0,"[{'id': 16, 'name': '애니메이션'}]",https://animation.geidai.ac.jp,830003.0,,ja,死ぬほどつまらない映画,,0.6,/ovZaxLSdBtzbCJdrsKjFuVTm5BW.jpg,"[{'id': 53391, 'logo_path': '/7aPeLmQjH1EFhqAXWLyyxZ535QA.png', 'name': 'Tokyo University of the Arts', 'origin_country': 'JP'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",2017-03-03,0.0,5.0,"[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,,死ぬほどつまらない映画,False,0.0,0.0
4,,,,True,,,0.0,"[{'id': 10749, 'name': '로맨스'}]",,830004.0,,en,Love Thy Neighbor,,0.621,/1rg4M75XRP9lTKZjklTkl9K22cn.jpg,"[{'id': 33891, 'logo_path': None, 'name': 'Forbidden Films', 'origin_country': ''}]",[],1998-03-31,0.0,84.0,[],Released,,Love Thy Neighbor,False,6.0,1.0
5,,,,False,,,200.0,"[{'id': 99, 'name': '다큐멘터리'}]",,830005.0,tt13900228,tl,Ang Susunod na Palabas,,0.6,/nciIyMhCA7Sz0uOugiOYAeHAvOv.jpg,"[{'id': 81630, 'logo_path': None, 'name': 'University of the Philippines Film Institute', 'origin_country': 'PH'}]","[{'iso_3166_1': 'PH', 'name': 'Philippines'}]",2020-12-12,0.0,6.0,[],Released,,Ang Susunod na Palabas,False,6.0,1.0
6,,,,False,,,0.0,"[{'id': 16, 'name': '애니메이션'}]",https://animation.geidai.ac.jp,830006.0,,ja,あなたが見えました,,0.6,/8Chu3kNrw7MalIHRHjOjtsEZSiy.jpg,"[{'id': 53391, 'logo_path': '/7aPeLmQjH1EFhqAXWLyyxZ535QA.png', 'name': 'Tokyo University of the Arts', 'origin_country': 'JP'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",2017-03-03,0.0,4.0,"[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,,あなたが見えました,False,0.0,0.0
7,,,,False,,,0.0,"[{'id': 99, 'name': '다큐멘터리'}]",,830007.0,,en,ALON,,0.6,/aMcZ4i0gjaxc7XE8HOtTxtnoE84.jpg,[],[],2020-06-08,0.0,57.0,"[{'english_name': 'Tagalog', 'iso_639_1': 'tl', 'name': ''}]",Released,,ALON,False,0.0,0.0
8,,,,False,,,0.0,"[{'id': 16, 'name': '애니메이션'}]",https://animation.geidai.ac.jp,830008.0,,ja,RINGING CITY,,0.6,/dTaNVRXjFhw1lGWfu9ZCkTyA6t7.jpg,"[{'id': 53391, 'logo_path': '/7aPeLmQjH1EFhqAXWLyyxZ535QA.png', 'name': 'Tokyo University of the Arts', 'origin_country': 'JP'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",2017-03-03,0.0,4.0,"[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,,RINGING CITY,False,0.0,0.0
9,,,,False,,,0.0,"[{'id': 16, 'name': '애니메이션'}]",https://animation.geidai.ac.jp,830009.0,,ja,Void,,0.6,/tdpYwzFt9dmrrZMIg5EaNzd1w7l.jpg,"[{'id': 53391, 'logo_path': '/7aPeLmQjH1EFhqAXWLyyxZ535QA.png', 'name': 'Tokyo University of the Arts', 'origin_country': 'JP'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",2017-03-03,0.0,3.0,"[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,,Void,False,0.0,0.0
