,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
167,False,/pKItm4sW0Xji31QXm8YiAmCGo4b.jpg,[99],684700,en,Athlete A,"선수들을 성적으로 학대한 전미 체조 대표 팀 의사 래리 내서. 그 생존자들이 증언을 시작하고, 기자들이 진실을 파헤친다. 용기 있는 이들의 싸움을 기록한 다큐멘터리.",9.867,/7RIaBYc52ERizzRcYaTgkBVNmUo.jpg,2020-06-24,우리는 영원히 어리지 않다,False,7.8,192
168,False,/k2SY15W9QXH9qL8f4a4BbytV1BE.jpg,"[28, 27, 53]",614696,ko,#살아있다,"원인불명 증세의 사람들의 공격에 통제불능에 빠진 도시. 영문도 모른 채 잠에서 깬 준우는 아무도 없는 집에 혼자 고립된 것을 알게 된다. 데이터, 와이파이, 문자, 전화 모든 것이 끊긴 채 고립된 상황. 연락이 두절된 가족에 이어 최소한의 식량마저 바닥이 나자 더 이상 버티기 힘들어진 준우. 하지만 그 순간 건너편 아파트에서 누군가 시그널을 보내온다. 또 다른 생존자 유빈이 아직 살아있음을 알게 된 준우는 함께 살아남기 위한 방법을 찾아 나서는데...",15.61,/zb06eXz3Pg5JzytPnMFb3cIDV7B.jpg,2020-06-24,#살아있다,False,7.3,1122
169,False,/h7knAvsUJTIpHMCJPxWBFLPBn5R.jpg,"[10749, 18]",554908,en,"Endings, Beginnings","운명이라 믿었던 남자와의 오랜 연애를 끝낸 다프네는 이별 후폭풍으로 No 연애, No 알콜과 함께 금욕 생활을 선언한다. 어느 날 그녀 앞에 나타난 두 남자 잭과 프랭크.  다프네는 따뜻하게 다가와 안정감을 주는 잭에게 끌리면서도 섹시한 눈빛으로 자신을 바라보는 프랭크에게 흔들려버린다. 사랑이 실패할까 두려운 다프네와 그녀에게 직진하는 두 남자. 다프네는 두 사람을 알아가보기로 결심하는데… 두 가지 색 리얼 현실 로맨스가 시작된다!",14.185,/sV7OTjrHBEd7bsP2eiLtN41tab6.jpg,2020-06-24,엔딩스 비기닝스,False,6.3,142
170,False,/n1RohH2VoK1CdVI2fXvcP19dSlm.jpg,"[10752, 18, 36, 28]",531876,en,The Outpost,"사방이 산으로 둘러싸인 방어 불가 지상 최악의 전초기지! 적의 공격에 무방비하게 노출될 수밖에 없는 이곳 아군의 지원은 물론 제대로 된 보급조차 기대하기 힘들다. 군 조사단조차 ‘명백히 방어 불가능’ 이라는 판정을 내린 상태. 호시탐탐 기회를 엿보는 적들로, 매일매일이 위험한 상황 속 총공세가 시작되는데…",17.551,/4pV0gKLEV6O5ElsuWNt4Z1NMcAs.jpg,2020-06-24,아웃포스트,False,6.9,661
171,False,/jMO1icztaUUEUApdAQx0cZOt7b8.jpg,"[35, 10402]",531454,en,Eurovision Song Contest: The Story of Fire Saga,작은 마을에서 노래한다고 꿈마저 작으란 법이 있나. 두 명의 가수가 세계 최대 규모의 노래 대회에 출전해 불꽃 같은 경쟁에 뛰어든다.,12.185,/AqXix0IZwWSUW5LX4Gfx0MsSZHN.jpg,2020-06-26,유로비전 송 콘테스트: 파이어 사가 스토리,False,6.4,973
172,False,/7TxeZVg2evMG42p0uSbMJpWNQ8A.jpg,"[16, 10751, 14]",520946,en,100% Wolf,유서 깊은 늑대인간 가문의 후계자 프레디는 자랑스러운 아버지의 뒤를 이어 위기에 빠진 인간들을 구하는 임무를 수행할 날만을 손꼽아 기다리고 있다. 드디어 꿈에 그리던 변신의 순간! 늑대가 아니라 귀여운 푸들이 되어 버린 프레디. 프레디는 자신이 순도 100% 늑대인간이라는 것을 증명하기 위해 가문의 비밀이 담겨 있는 보물 문스톤을 찾아나서는데…!,102.796,/8S4kyQTZfQ6lMCC4HrxlyfIsI0q.jpg,2020-06-26,100% 울프: 푸들이 될 순 없어,False,5.9,201
173,False,/x7iqHlTbFpZDOMZJHNxfQsG7E13.jpg,"[80, 18]",429422,en,Capone,"1920년대, 미국 시카고를 중심으로 강력 범죄조직을 이끈 전설적인 갱스터 알폰조 카포네. 수많은 폭력, 살인 사건을 배후에서 지휘했으며 정계 인사와 경찰까지 매수할 만큼 막강한 영향력을 가졌던 그는 1932년 탈세 혐의로 알카트라즈 교도소에 투옥되어 10여 년의 세월을 감옥에서 보낸 후 출소하게 된다. 드디어 숨겨둔 거액의 재산을 꺼낼 때가 왔지만, 치매를 앓게 된 그는 과거와 현재의 경계가 불분명한 채로 살아간다. 거금의 재산을 숨겨둔 장소를 제대로 기억하지 못하게 된 그를 FBI 요원들이 은밀히 이를 쫓기 시작하고, 주변에 대한 의심과 FBI의 계속되는 압박은 그를 옥죄어 온다.",12.853,/xJbKUR9NNDiPZ1Lc7mKIlPVXTWi.jpg,2020-06-26,폰조,False,5.0,220
174,False,/pO1SnM5a1fEsYrFaVZW78Wb0zRJ.jpg,"[10751, 16, 12, 35, 10770]",677638,en,We Bare Bears: The Movie,"그리즐리, 팬더, 아이스 베어가 푸드 트럭을 얼마나 사랑하는지에 대한 바이럴 비디오가 퍼지게 되면서 생긴 사고로 대규모의 정전 사태가 발발한다. 이 사건은 국립 야생 동물 관리국 소속 트라우트 요원의 관심을 끌게 된다. 트라우트는 인간과 같은 생활 방식을 갖고 있는 곰들을 영원히 격리시킴으로써 자연의 질서를 회복하겠다고 선언한다. 정든 집에서 쫓겨 난 곰들은 캐나다에서 피난처를 찾는 과정에서 새로운 친구, 위험한 장애물, 거대한 파티로 가득 찬 여행을 떠난다. 이 위험천만한 여정은 그들이 처음 만나고 형제가 되었던 예전을 돌아보게 하는데...",115.29,/kPzcvxBwt7kEISB9O4jJEuBn72t.jpg,2020-06-30,위 베어 베어스: 더 무비,False,7.9,688
175,False,/k8H6Qp4uJ9WHArPQwDqCaW9g3Sj.jpg,"[35, 10749]",706510,en,Desperados,그거 알아? 술이 원수다. 그렇지 않고서야 그에게 그런 망측한 메일을 보낼 리가 있나.이 사태를 수습하기 위해 친구들과 멕시코로 날아가는 웨스. 반드시 지우고 만다!,10.278,/p0aJ42yUp5pS4MdPKP69VRZ2Gkp.jpg,2020-07-01,데스페라도스,False,6.1,403
176,False,/a8dc8eyldtHMjrUluyLRKdVIhif.jpg,"[35, 10749]",694234,it,Sotto il sole di Riccione,"이탈리아 리초네 해변에 올여름에도 어김없이 청춘들이 모여든다. 휴가철마다 봐 온 익숙한 얼굴들에 새로운 친구들까지, 모두 금세 친해질 수 있는 건 연애라는 공통 관심사가 있기 때문! 뜨거운 여름 해변에서 풋풋한 로맨스가 펼쳐진다.",7.105,/6l6uOlFsPtacXnf10I9c9S5ckRm.jpg,2020-07-01,리초네의 태양 아래,False,6.3,430
177,False,/2v6tOt3yedtb9urqXr7qCBS2gyl.jpg,"[27, 53, 9648]",621707,en,The Vigil,"비질은 '철야 기도'를 뜻하기도 하는데, 주인공 야코브는 예전에 유대인 종교모임을 일컫는 하시딤의 일원이었으나, 지금은 신앙이 사라진 사람. 그러다가 어쩔 수 없이 쇼머(유대인 전통으로 어느 한 사람이 죽는  순간에서 매장될 때까지 지키는 것)를 하게 되면서 겪게 되는 공포를 그리고 있다",9.822,/xNX2hN50YFBMYIZy5UkQxNoE9o3.jpg,2020-07-01,더 비질,False,5.8,200
178,False,/tefWTXFILq85R4jFZ0wyGOgDiBB.jpg,"[14, 18, 10749]",615761,de,Undine,도시개발 전문 역사학자이자 박물관 관광 가이드 운디네는 운명적인 사랑이라 믿었던 요하네스에게 실연당한다. 절망한 그녀 앞에 산업 잠수사인 크리스토프가 나타나고 그녀의 심장은 다시 뛰기 시작한다.,9.584,/pN81NlLm5XrKN9wjgao6pET9k8a.jpg,2020-07-01,운디네,False,6.4,116
179,False,/1FlAXJdpBgBXFnFpKQo44J91yGc.jpg,[35],598133,en,The F**k-It List,"나는 망했다! 딱 한 번의 장난으로 모범생에서 문제아가 돼버린 브렛. 대학 입시가 전부였던 그는 해보고 싶었던 일을 리스트로 만들어 공유한다. 인생, 끝난 건 아니잖아?",11.001,/oIxGqt2XKTLEKLHVffIv9hUlW0T.jpg,2020-07-01,퍼킷 리스트,False,6.2,356
