,0,1,2,3,4,5,6,7,8,9,10
0,ko,KR,휴 그랜트 주연작 ‘한 번 더 해피엔딩’ 예고편 공개(The Rewrite Official Trailer #1-Hugh Grant),Eq-i8w-_MlI,YouTube,1080,Trailer,False,2015-03-16 06:13:33 UTC,6091ef957390c0005610275c,289727
1,ko,KR,모던 보이 메인예고,upljKE2q7P4,YouTube,480,Trailer,False,2017-08-10 04:38:31 UTC,602912e65ab81a003ee5fe79,290075
2,ko,KR,'아가씨' 임이 오는 소리 MV,_FeYDrG0HsU,YouTube,1080,Featurette,False,2016-06-05 06:35:05 UTC,5d4391beb7abb5001748b937,290098
3,ko,KR,'아가씨' 4인 관계 캐릭터 영상,QnEra2Ob2X8,YouTube,1080,Clip,False,2016-05-16 01:21:36 UTC,5d439209a9117f0012eedd41,290098
4,ko,KR,'아가씨' 30초 예고편,o7y11lXbyPg,YouTube,1080,Teaser,False,2016-05-10 01:41:43 UTC,5d4391e4ea7b0e001389344c,290098
5,ko,KR,'아가씨' 스타일 예고편,Tjh-L_G_jG4,YouTube,1080,Teaser,False,2016-05-09 01:15:45 UTC,5c402e55c3a368638a417483,290098
6,ko,KR,"'아가씨' 박찬욱 감독, 아가씨를 만나다",7k4hJyV7BJY,YouTube,1080,Featurette,False,2016-05-02 05:21:18 UTC,5d4391a0b7abb5001748b920,290098
7,ko,KR,'아가씨' 스토리 예고편,xnDjDxeh998,YouTube,1080,Trailer,False,2016-04-22 03:08:21 UTC,5c402e439251417a60ae805b,290098
8,ko,KR,'아가씨' 런칭 영상,DMa_a7jni8I,YouTube,1080,Teaser,False,2016-04-15 01:14:17 UTC,5c402e330e0a261554901af2,290098
9,ko,KR,[헌츠맨: 윈터스 워] 1차 예고편,OCRPUYynsT0,YouTube,1080,Trailer,True,2015-11-20 11:25:34 UTC,602155f3458199003fa8a662,290595
10,ko,KR,트레이서_30초 예고편(HD) 대공개!,_wISufZcX3Q,2015-03-11 10:54:18 UTC,YouTube,1080,Trailer,False,5511687c9251417d0d0005bb,290764
11,ko,KR,[터미네이터: 다크 페이트] '새로운 운명의 격돌' 영상,fuj26LaSpW0,YouTube,1080,Teaser,True,2019-09-30 02:14:35 UTC,5d916c2e79b3d400178ff71e,290859
12,ko,KR,[터미네이터: 다크 페이트] 'We Are Back’ 영상,0_d0XHNMMUo,YouTube,1080,Featurette,True,2019-09-16 05:21:22 UTC,5d7fb04af0647c0fd39be4db,290859
13,ko,KR,[터미네이터: 다크 페이트] 티저 예고편,eE4GPPnG1Mw,YouTube,1080,Trailer,True,2019-05-25 02:00:04 UTC,5ce907b4c3a3681c4e1e4eee,290859
14,ko,KR,[타짜-신의 손 메인예고편],AVbp8WoqqLE,YouTube,1080,Trailer,False,2014-08-18 01:53:21 UTC,5d47e648a0be280454a65987,290865
15,ko,KR,아노말리사  ANOMALISA  공식 예고편 (한국어 CC),Sscyc9NQinY,YouTube,1080,Trailer,False,2015-11-03 06:11:05 UTC,60af188eecbde9006d75febb,291270
16,ko,KR,영화 ‘스파이 게임’ 메인 예고편,VwKxxsLDhn4,YouTube,1080,Trailer,False,2017-08-17 07:39:25 UTC,601bc637bb1057003f9c3f76,291276
17,ko,KR,[암살] 프러덕션 리포트 영상,XzfHESuOFJs,YouTube,1080,Behind the Scenes,False,2015-07-28 01:58:00 UTC,6039108968b1ea006cb9b317,291549
18,ko,KR,[암살] 30초 예고편,ub8HAidfFEQ,YouTube,1080,Teaser,False,2015-07-15 09:20:10 UTC,603910959ba86a005684994b,291549
19,ko,KR,[암살] 메인 예고편,l2zbiENbffM,YouTube,1080,Trailer,False,2015-07-13 06:51:44 UTC,603910b9d6819b006c037095,291549
20,ko,KR,[암살] 30초 예고편,FhRN4B1BhIc,YouTube,1080,Teaser,False,2015-07-03 02:41:39 UTC,6039109eb686b900428bc9d2,291549
21,ko,KR,[암살] 메인 예고편,RnGxpZ75zFU,YouTube,1080,Trailer,False,2015-06-23 03:01:36 UTC,60102d170b5fd6003c6150a2,291549
22,ko,KR,[암살] 티저 예고편,YzleZY-TahM,YouTube,1080,Teaser,False,2015-06-15 07:23:42 UTC,603910a8322b2b005525c5ed,291549
23,ko,KR,[나우 유 씨 미2] 메인예고편,fOGxbmnraFg,YouTube,1080,Trailer,False,2016-06-21 15:00:04 UTC,60084fdfcb8028003efa1ab6,291805
24,ko,KR,[오 마이 그랜파] 메인 예고편,dkZQwjMfvJY,YouTube,1080,Trailer,False,2016-02-24 07:52:59 UTC,60163485bb1057003d934175,291870
25,ko,KR,리차드 주얼 예고편 한국어 CC Richard Jewell Trailer 공식 Official,eWCt2-zHsQQ,YouTube,1080,Trailer,False,2019-10-03 16:53:44 UTC,618152bf1c6aa70043747199,292011
