,success,status_code,status_message,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
9332,,,,False,,,0.0,"[{'id': 99, 'name': '다큐멘터리'}]",,399332.0,,fr,Le yoga facile pour les Nuls,,0.6,,[],[],2008-06-01,0.0,0.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Le yoga facile pour les Nuls,False,0.0,0.0
9333,,,,False,,,0.0,"[{'id': 878, 'name': 'SF'}, {'id': 14, 'name': '판타지'}]",,399333.0,tt0281631,en,Balls Bluff,,0.841,,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1961-01-01,0.0,24.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Balls Bluff,False,0.0,0.0
9334,,,,False,,,0.0,[],,399334.0,,de,Filz TV,,0.6,/7RW3Bc72lLgjr73OACpKU5yV5fB.jpg,[],"[{'iso_3166_1': 'DE', 'name': 'Germany'}]",1970-01-01,0.0,10.0,"[{'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,Filz TV,False,1.0,1.0
9335,,,,False,,,0.0,"[{'id': 9648, 'name': '미스터리'}, {'id': 12, 'name': '모험'}, {'id': 10770, 'name': 'TV 영화'}, {'id': 878, 'name': 'SF'}]",,399335.0,,ru,Петля времени,,0.625,,[],"[{'iso_3166_1': 'RU', 'name': 'Russia'}]",2014-01-13,0.0,0.0,"[{'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,Петля времени,True,7.5,1.0
9336,,,,False,,,0.0,"[{'id': 10402, 'name': '음악'}, {'id': 10749, 'name': '로맨스'}]",,399336.0,tt0020937,en,Greek Street,,0.841,,"[{'id': 77382, 'logo_path': None, 'name': 'Golden Arrow Productions', 'origin_country': ''}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1930-05-01,0.0,85.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Greek Street,False,0.0,0.0
9337,,,,False,,,0.0,[],,399337.0,tt0355476,en,Genius: Charles Darwin,,1.121,/cPT43n3JznJnQhG1SuHqbWd8vDX.jpg,[],[],2003-01-01,0.0,50.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Genius: Charles Darwin,True,7.0,1.0
9338,,,,False,,,0.0,[],,399338.0,,en,Liquid Music ‎– Mindshower: Deep Spirit Drift,,0.6,,[],[],2003-01-01,0.0,50.0,[],Released,,Liquid Music ‎– Mindshower: Deep Spirit Drift,False,0.0,0.0
9339,,,,False,,,0.0,[],,399339.0,,en,Revolution - A Demonstration of the Video Toaster,,0.6,,[],[],1992-01-01,0.0,11.0,[],Released,,Revolution - A Demonstration of the Video Toaster,False,0.0,0.0
9340,,,,False,,,0.0,"[{'id': 16, 'name': '애니메이션'}]",,399340.0,tt0129737,en,Ain't Misbehavin',,0.6,,[],[],1981-05-26,0.0,4.0,[],Released,,Ain't Misbehavin',False,0.0,0.0
9341,False,34.0,The resource you requested could not be found.,,,,,,,,,,,,,,,,,,,,,,,,,
9342,,,,False,,,0.0,"[{'id': 16, 'name': '애니메이션'}, {'id': 18, 'name': '드라마'}]",,399342.0,,en,The Beholder,,0.6,,[],[],1983-05-26,0.0,8.0,[],Released,,The Beholder,False,9.0,1.0
9343,,,,False,/rhYtdW2nyhFaBewk4jV4xN3ASxV.jpg,,0.0,"[{'id': 35, 'name': '코미디'}]",,399343.0,tt4637050,it,Fräulein - Una fiaba d'inverno,,2.097,/33nzVqOfEuzTHhIbfBGd3YlXi8W.jpg,[],"[{'iso_3166_1': 'IT', 'name': 'Italy'}]",2016-05-26,0.0,90.0,"[{'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,Fräulein - Una fiaba d'inverno,False,5.0,27.0
9344,,,,False,,,0.0,[],,399344.0,,en,The Mountain Where Everything Is Upside Down,,0.6,,[],[],2007-09-01,0.0,5.0,[],Released,,The Mountain Where Everything Is Upside Down,False,10.0,1.0
9345,False,34.0,The resource you requested could not be found.,,,,,,,,,,,,,,,,,,,,,,,,,
9346,,,,False,,,0.0,[],,399346.0,tt0330433,en,Illuminated Manuscripts,,0.6,,[],[],,0.0,80.0,[],Released,,Illuminated Manuscripts,False,0.0,0.0
9347,,,,False,,,0.0,[],,399347.0,tt3956322,it,Il traduttore,,1.454,/tT64yfRU9OOyoSnARmWy0gA82tD.jpg,[],"[{'iso_3166_1': 'IT', 'name': 'Italy'}]",2016-05-26,0.0,0.0,"[{'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,Il traduttore,False,4.5,4.0
9348,,,,False,,,0.0,"[{'id': 12, 'name': '모험'}, {'id': 16, 'name': '애니메이션'}]",,399348.0,,en,The Cryptozoologist,,0.6,,"[{'id': 77384, 'logo_path': None, 'name': 'Tv On Producciones', 'origin_country': ''}]","[{'iso_3166_1': 'ES', 'name': 'Spain'}]",2015-09-11,0.0,8.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,The Cryptozoologist,False,0.0,0.0
9349,,,,False,,,0.0,"[{'id': 18, 'name': '드라마'}]",,399349.0,tt0204140,de,Anna Wunder,,0.893,,[],"[{'iso_3166_1': 'DE', 'name': 'Germany'}]",2002-09-05,0.0,,[],Released,,Anna Wunder,False,5.0,1.0
9350,,,,False,,,0.0,"[{'id': 18, 'name': '드라마'}]",,399350.0,tt1877756,de,Schlusschor,,0.6,,[],"[{'iso_3166_1': 'DE', 'name': 'Germany'}]",1993-02-16,0.0,,[],Released,,Schlusschor,False,0.0,0.0
