,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
0,False,/JYyQPEd22hldQLIaNLZI5oFvmM.jpg,"[28, 53]",460059,en,Burn Out,"최고의 슈퍼바이크 레이서를 꿈꾸는 토니, 그가 뒷골목 지하 세계에 발을 들인다. 레일라와 소피앵을 구하려면 하는 수 없다. 정해진 트랙 없는 위험한 질주가 시작된다.",21.846,/3LeFOvzjZuIC7cQiXDeSIy1ym7a.jpg,2018-01-03,번 아웃,False,6.8,275
1,False,/9oVqHRuCpiBVa3OO0ro4KRbykrv.jpg,"[18, 10749, 12]",449749,en,The Leisure Seeker,도널드 서덜랜드와 헬렌 미렌의 열연이 돋보이는 감동 드라마. 한 커플이 듬직한 캠핑카 ‘레저 시커’를 타고 보스턴을 떠나 대문호 어니스트 헤밍웨이의 고향인 키 웨스트로 향한다. 세계적인 감독 비르지는 이 낭만적인 모험을 통해 삶에 대한 열정과 사랑을 재발견하는 과정을 보여준다. (2017년 제22회 부산국제영화제),8.731,/1IOnJzgbgVj85vDEIf1fPmCQ7KP.jpg,2018-01-03,레저 시커,False,7.1,380
2,False,/PwI3EfasE9fVuXsmMu9ffJh0Re.jpg,"[27, 9648, 53]",406563,en,Insidious: The Last Key,"자신의 집에서 기이한 일들이 일어난다는 한 남자의 전화를 받게 된 영매 엘리스(린 샤예). 찾아간 그 곳은 다름 아닌 자신이 어린 시절 살았던, 뉴멕시코의 고향집이다.수십 년 만에 다시 찾은 집에서 벌어지는 정체불명의 사건을 파악하기 위해 나선 엘리스. 어린 시절 자신이 겪었던 기억하고 싶지 않은 공포와 마주하게 되는데...",39.852,/qvNUK5JVPA8Q8cepiZDV6tgvvta.jpg,2018-01-03,인시디어스4: 라스트 키,False,6.2,2128
3,False,/ebcNmjWoq14VSnfj9wM87uJ1blQ.jpg,"[53, 27]",503752,en,What Keeps You Alive,"결혼 1주년 기념일 전날, 레즈비언 부부인 쥴스와 재키는 단둘이 오붓한 시간을 보내기 위해 재키의 고향에 위치한 한적한 숲속에 지어진 별장으로 휴가를 온다. 오랜만에 단둘만의 즐거운 시간을 보내고 있던 중, 재키의 학교 동창을 우연히 만나고 이를 계기로 쥴스와 재키의 살기 위한 사투가 시작된다. 쫓고 쫓기는 긴박한 상황 속에서 재키가 그동안 감춰 왔던 엄청난 비밀이 밝혀지는데….",12.669,/7KzkYlDHdiieUqWlxHAkfxx9Po.jpg,2018-01-04,애인이 사이코패스일 때 나에게 생기는 일,False,5.9,183
4,False,/1dxeDO4MNAYey6wPD0IspSTm7tu.jpg,[14],433150,it,Il ragazzo invisibile - Seconda generazione,"투명인간의 초능력을 감춘 채 첫사랑 스텔라를 짝사랑하며 평범한 학교 생활을 하는 미켈레.  어느 날 갑자기 나타샤라는 거칠고 신비한 소녀가 나타나며 애써 유지하고 있던 일상이 흔들리고 만다.  또한 죽은 줄만 알았던 생모와 의문의 초능력자들까지 찾아오며 정체성에 혼란이 일어난다.  때마침 러시아와 이탈리아 북부 도시를 관통하는 대규모 가스 파이프라인 연결 완공식이 곧 개최 된다는 뉴스가 대대적으로 보도되고, 이 행사의 시작과 함께 도시전체를 화염으로 날려버릴 가공할 음모가 은밀히 진행되는데.....  그리고 마침내 피할 수 없는 돌연변이들의 무차별 반격이 시작된다!",10.117,/eST9zbpGkrswZOud9hWGKBARsD6.jpg,2018-01-04,뮤턴트 워,False,6.4,248
5,False,/yhSXAOU9vAMbba4TQsOS3IQf0e8.jpg,"[12, 35, 878]",450720,tr,Arif V 216,,6.442,/ioHlvY7dlbZQLLmo7CRyy28B6sC.jpg,2018-01-05,Arif V 216,False,6.3,129
6,False,/AlGZhb44qqwBlF4gAONo9mE88h3.jpg,[35],437310,es,Que baje Dios y lo vea,신학대학에 부임한 괴짜 교수와 학생들이 힘을 합쳐 대학을 호텔로 만들려고 하는 주교의 계획을 저지한다는 내용,8.301,/1KOwQ6O42pk2mg3xbA0hQJInK5.jpg,2018-01-05,신부님은 골키퍼,False,5.5,117
7,False,/lcdXS73CENmdIiXwY0cUx7ORrhU.jpg,[878],449575,en,The Beyond,,8.078,/wuezKxgZReQmqIrI9QOJZ23Z0y4.jpg,2018-01-09,The Beyond,False,5.6,136
8,False,/vnGvJZG5WGrsbGfrR7TVi0VY31k.jpg,"[18, 35]",492550,fr,Normandie Nue,,6.184,/eLgBeKESRVEhrCMrzggI9WQ2ggG.jpg,2018-01-10,노르망디 뉘,False,5.8,104
9,False,/zgcL0xaHxXVvrV1Fu1ZSKoTk0MH.jpg,"[878, 28, 12, 53]",336843,en,Maze Runner: The Death Cure,"미스터리한 조직 ‘위키드’에게 잡힌 ‘민호’(이기홍)를 구하기 위해  ‘토마스’(딜런 오브라이언)와 러너들은 ‘위키드’의 본부가 있는 최후의 도시로 향한다.  인류의 운명이 걸린 ‘위키드’의 위험한 계획을 알게 된  ‘토마스’와 러너들은 마지막 사투를 준비하지만,  ‘토마스’는 친구와 인류의 운명 앞에서 딜레마에 빠지게 되는데…",69.563,/xTOZbj6y3sTa83YH1dx82Ev7VlA.jpg,2018-01-10,메이즈 러너: 데스 큐어,False,7.1,6084
