,success,status_code,status_message,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
0,False,34.0,The resource you requested could not be found.,,,,,,,,,,,,,,,,,,,,,,,,,
1,False,34.0,The resource you requested could not be found.,,,,,,,,,,,,,,,,,,,,,,,,,
2,False,34.0,The resource you requested could not be found.,,,,,,,,,,,,,,,,,,,,,,,,,
3,False,34.0,The resource you requested could not be found.,,,,,,,,,,,,,,,,,,,,,,,,,
4,False,34.0,The resource you requested could not be found.,,,,,,,,,,,,,,,,,,,,,,,,,
5,False,34.0,The resource you requested could not be found.,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,False,/1g8u78FExsr4NZjHDOvHDi2uCgq.jpg,"{'id': 102777, 'name': '화이트 노이즈 시리즈', 'poster_path': '/wFAfi0y9cK0YdcNHXnHM7CjOnAy.jpg', 'backdrop_path': '/gvg1pvlr2A7cX4CzvVwar01qWVB.jpg'}",0.0,"[{'id': 53, 'name': '스릴러'}, {'id': 27, 'name': '공포'}, {'id': 14, 'name': '판타지'}]",,7006.0,tt0496436,en,White Noise 2: The Light,"에이브 데일은 아내와 아들이 그의 눈 앞에서 잔인하게 살해되자 가족을 살리지 못했다는 자괴감에 자살을 하고 만다. 에이브는 죽음에 이르는 하얀 빛의 터널을 지나고, 자신에게 손짓하는 아내와 아들을 보지만 의사의 노력으로 되살아난다. 평범한 생활로 돌아가려 하지만 전기적 보이스 현상(E.V.P)을 경험하게 된 후 어떤 장치 없이도 유령 세계를 볼 수 있게 된 에이브는 빛을 발산한 사람들이 이내 죽고 만다는 것을 알게 되고, 누가 언제 죽을지 안다면 그들을 구할 수 있을 것이라고 생각한다. 그의 가족을 살해하고, 정신병원에 갇혀 있는 헨리 케인을 찾아간 에이브는 더 많은 사람의 목숨을 구하면 구할수록 대가를 치뤄야 하는 끔찍한 진실을 마주하게 되는데…",11.308,/2c23pjDzHijDJASyKPgaZYlVZBZ.jpg,"[{'id': 1063, 'logo_path': '/fpVBhNnopOZwGuF0gg99oBHp1ht.png', 'name': 'Brightlight Pictures', 'origin_country': 'CA'}, {'id': 12026, 'logo_path': None, 'name': 'Gold Circle Films', 'origin_country': 'US'}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2007-01-05,0.0,99.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"순리를 거스른 자, 그 대가를 치르리라!",화이트 노이즈 2,False,5.5,194.0
7,,,,False,/hWHeq3jlEOOcucLqUN5KJmmNuGO.jpg,,40000000.0,"[{'id': 28, 'name': '액션'}, {'id': 18, 'name': '드라마'}, {'id': 53, 'name': '스릴러'}]",,7007.0,tt0107969,en,Rising Sun,"LA에 있는 일본 기업의 회의실에서 백인 여자가 살해되자, 경찰 웨브 경위가 수사에 나선다. 그러나 알 수 없는 지시에 의해 코너라는, 일본인들과 긴밀한 접촉을 갖고 있는 신비한 인물을 만나게 된다. 선후배 사이가 된 코너와 웨브는 살인 사건을 둘러싼 일본의 조직을 파고드는데, 그속에는 고대로부터 전해진 '야쿠자' 세계와 초현대식의 세계가 펼쳐진다.",14.106,/jVWEeZ383peKxwE284AdyHqq6GH.jpg,"[{'id': 8780, 'logo_path': None, 'name': 'Walrus & Associates', 'origin_country': ''}, {'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1993-07-30,107198790.0,125.0,"[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,떠오르는 태양,False,6.1,545.0
8,,,,False,/xsZ2WQeTKUZ36Or6KadtlcmPDMg.jpg,,0.0,"[{'id': 28, 'name': '액션'}, {'id': 12, 'name': '모험'}, {'id': 18, 'name': '드라마'}, {'id': 53, 'name': '스릴러'}]",,7008.0,tt0073901,en,The Wilby Conspiracy,,2.554,/4BBXpqhBy18oGFkZW4zYqZgMKSU.jpg,"[{'id': 2162, 'logo_path': None, 'name': 'Baum/Dantine Productions', 'origin_country': ''}, {'id': 2163, 'logo_path': None, 'name': 'Optimus Productions', 'origin_country': 'GB'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1975-02-01,0.0,105.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,The Wilby Conspiracy,False,6.2,23.0
9,,,,False,/giHTxxlYsCYlfbuVr8ZzGzrcHoY.jpg,"{'id': 122404, 'name': 'Die Wilden Hühner Filmreihe', 'poster_path': '/dDIDnmejvXGHIkJEM8fvgvw97WA.jpg', 'backdrop_path': '/hBLYbdmPe9XM7r14KPGPvfwT5Vr.jpg'}",0.0,"[{'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]",,7009.0,tt0466195,de,Die Wilden Hühner,,4.782,/ot73ZPiUY2Og5KiNWEJ11w7AzwR.jpg,[],"[{'iso_3166_1': 'DE', 'name': 'Germany'}]",2006-02-08,0.0,95.0,"[{'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,Die Wilden Hühner,False,5.9,52.0
