,success,status_code,status_message,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
0,False,34.0,The resource you requested could not be found.,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,False,/nd9yPksybrn7KH0yMiP7D0G5gKT.jpg,,0.0,"[{'id': 99, 'name': '다큐멘터리'}, {'id': 36, 'name': '역사'}]",,780001.0,,it,Giorgio de Chirico. Tra Rivelazione ed Enigma,,0.6,/gHBwpFS0HAUUSK9bLwez9ExT2z3.jpg,"[{'id': 1583, 'logo_path': '/gKP4egMJOi5rksdnplfPV1wa0sd.png', 'name': 'RAI', 'origin_country': 'IT'}]",[],2014-11-26,0.0,0.0,"[{'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,Giorgio de Chirico. Tra Rivelazione ed Enigma,False,0.0,0.0
2,,,,False,/a1htHX9SdsH9GsIsBRGYkkq5cOX.jpg,,0.0,"[{'id': 35, 'name': '코미디'}]",,780002.0,,fr,Les comiques préférés des Français,,0.6,/8cxGqk8iSCp5pttQXkcwmUDb5Oo.jpg,[],[],2020-12-26,0.0,0.0,[],Released,,Les comiques préférés des Français,False,0.0,0.0
3,,,,False,,,61267.0,"[{'id': 99, 'name': '다큐멘터리'}]",,780003.0,tt0923797,en,Motodrom,,0.6,/fpOhXOed5vfm3Rpmg0e4hX54gOA.jpg,[],"[{'iso_3166_1': 'DE', 'name': 'Germany'}]",2006-06-25,0.0,9.0,[],Released,,Motodrom,False,0.0,0.0
4,,,,False,,,0.0,[],,780004.0,tt8598718,en,Open the Trunk!,,0.6,,[],[],,0.0,0.0,[],Released,,Open the Trunk!,False,0.0,0.0
5,,,,False,,,0.0,[],,780005.0,tt11495806,en,Zidane Adams: The Black Blogger!,,0.6,/zgJpt3QSfbiLD6Fkj2kPpRsLpC7.jpg,[],[],2021-02-09,0.0,100.0,[],Released,,Zidane Adams: The Black Blogger!,False,0.0,0.0
6,,,,False,,,0.0,[],,780006.0,tt3683202,en,Grandma's Story,,0.6,,[],[],,0.0,10.0,[],Released,,Grandma's Story,False,0.0,0.0
7,,,,False,,,0.0,[],,780007.0,tt3149754,en,Sinnergy,,0.6,,[],[],2009-10-10,0.0,6.0,[],Released,,Sinnergy,False,0.0,0.0
8,,,,False,,,0.0,[],,780008.0,tt1362067,en,Eminent Domain,,0.6,,[],[],,0.0,23.0,[],Released,,Eminent Domain,False,0.0,0.0
9,,,,False,,,0.0,[],,780009.0,tt1300559,en,The 13th of Never,,0.6,,[],[],,0.0,109.0,[],Released,,The 13th of Never,False,0.0,0.0
10,,,,False,,,0.0,[],,780010.0,tt1524574,en,The Universe Holographic,,0.6,,[],[],2007-12-12,0.0,95.0,[],Released,,The Universe Holographic,False,0.0,0.0
11,False,34.0,The resource you requested could not be found.,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,False,,,0.0,[],,780012.0,tt7533252,en,Yellowcard: Sing for Me,,0.6,,[],[],,0.0,4.0,[],Released,,Yellowcard: Sing for Me,False,0.0,0.0
13,,,,False,/r9x2qgXNPWWSrnl1B1JE8OGysc6.jpg,,0.0,"[{'id': 27, 'name': '공포'}]",,780013.0,,en,Paranormal Activity: The Chronology,,0.6,/1pgbxZUnmmEnVWFKdWNRjnXVpF0.jpg,"[{'id': 4, 'logo_path': '/fycMZt242LVjagMByZOLUGbCvv3.png', 'name': 'Paramount', 'origin_country': 'US'}]",[],2012-01-24,0.0,276.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Paranormal Activity: The Chronology,False,6.0,2.0
14,,,,False,,,0.0,[],,780014.0,tt3547016,en,Garden of Heathen,,0.6,,[],[],2007-12-12,0.0,90.0,[],Released,,Garden of Heathen,False,0.0,0.0
15,False,34.0,The resource you requested could not be found.,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,False,,,0.0,"[{'id': 18, 'name': '드라마'}]",,780016.0,tt2739918,tl,Pasiya ng Langit,,0.6,/hx4fadJPUQVtkNSRNhO1iLtKIKl.jpg,"[{'id': 19710, 'logo_path': None, 'name': 'LVN Pictures', 'origin_country': 'PH'}]","[{'iso_3166_1': 'PH', 'name': 'Philippines'}]",1954-06-14,0.0,98.0,"[{'english_name': 'Tagalog', 'iso_639_1': 'tl', 'name': ''}]",Released,,Pasiya ng Langit,False,0.0,0.0
17,,,,False,,,0.0,[],,780017.0,,sv,A Gift for Papa's Day,,0.6,/zjOwarRg8eihJYLSNo8WEny7Tox.jpg,[],[],,0.0,0.0,[],Released,,A Gift for Papa's Day,False,0.0,0.0
18,False,34.0,The resource you requested could not be found.,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,False,,,0.0,[],,780019.0,tt8728922,en,Diamond Horn,,0.6,,[],[],,0.0,0.0,[],Released,,Diamond Horn,False,0.0,0.0
20,,,,False,,,0.0,[],,780020.0,tt12349908,en,Pandemic Response,,0.6,,[],[],,0.0,0.0,[],Released,,Pandemic Response,False,0.0,0.0
