id,original_title,vote_count
631,Sunrise: A Song of Two Humans,546
634,Bridget Jones's Diary,4042
635,Angel Heart,1045
636,THX 1138,681
638,Lost Highway,1826
641,Requiem for a Dream,7646
644,A.I. Artificial Intelligence,4927
648,La belle et la b梨뾲e,422
650,Boyz n the Hood,1317
663,Saw IV,2779
664,Twister,2398
677,Olympia - Fest der V泥쟫ker,67
685,Olympia - Fest der Sch泥쟮heit,49
687,Dead Man Walking,991
688,The Bridges of Madison County,1543
693,Meet the Fockers,3798
695,Short Cuts,395
697,???????,127
700,Octopussy,1392
701,Our Hospitality,177
702,A Streetcar Named Desire,981
703,Annie Hall,3061
706,Fontane Effi Briest,30
709,Licence to Kill,1385
711,Finding Forrester,809
742,Tillsammans,168
743,Zugv泥쟥el ??einmal nach Inari,12
746,The Last Emperor,1173
750,Murder She Said,129
751,Murder at the Gallop,94
752,V for Vendetta,11676
754,Face/Off,3995
755,From Dusk Till Dawn,4581
757,Murder Most Foul,95
758,Murder Ahoy,88
760,Les Aventures de Rabbi Jacob,733
761,L'Aile ou la Cuisse,632
762,Monty Python and the Holy Grail,4456
765,Evil Dead II,2132
774,La Sortie de l'Usine Lumi梨봱e ??Lyon,224
777,La Grande Illusion,451
778,Les vacances de Monsieur Hulot,291
780,La passion de Jeanne d'Arc,597
784,Kolja,105
785,Kuhle Wampe oder: Wem geh泥쟲t die Welt?,17
790,The Fog,1017
796,Cruel Intentions,2466
797,Persona,1479
798,P泥큡ktchen und Anton,4
799,P泥큡ktchen und Anton,21
803,Nuit et brouillard,310
804,Roman Holiday,1478
807,Se7en,16061
808,Shrek,13107
810,Shrek the Third,6982
814,An American Werewolf in London,1677
815,Animal Farm,107
816,Austin Powers: International Man of Mystery,2547
817,Austin Powers: The Spy Who Shagged Me,2569
819,Sleepers,2488
820,JFK,1505
823,?낅???JIN-ROH,307
825,Playing by Heart,154
826,The Bridge on the River Kwai,1465
830,Forbidden Planet,634
831,This Island Earth,141
835,F.P.1 antwortet nicht,5
836,Vidas Secas,61
838,American Graffiti,1023
842,The Assassination of Richard Nixon,219
846,The X Files,1158
848,Dragonslayer,188
849,Krull,362
852,Es geschah am hellichten Tag,83
861,Total Recall,4364
869,Planet of the Apes,3124
870,??κ틬??ｊ땍,208
873,The Color Purple,1239
878,Die Feuerzangenbowle,102
879,Hook,4222
880,Antonia,79
882,Flussfahrt mit Huhn,2
888,The Flintstones,1888
889,The Flintstones in Viva Rock Vegas,556
890,Schlafes Bruder,22
893,Die Polizistin,4
894,Willenbrock,9
899,Broken Blossoms,155
900,Bringing Up Baby,680
902,La Cit梨?des Enfants Perdus,753
903,Cool Hand Luke,1006
904,Der Stolz der Firma,1
905,Die B泥큓hse der Pandora,137
906,Die Drei von der Tankstelle,14
908,Het Schnitzelparadijs,24
910,The Big Sleep,723
911,The Bank Dick,80
917,Bharat Mata,55
918,Blind Date,334
928,Gremlins 2: The New Batch,1887
930,Die gro?쯥 Liebe,10
932,Die M泥쟲der sind unter uns,39
933,Hei?쯥r Sommer,9
939,The Jazz Singer,132
942,Lethal Weapon 2,2572
943,Lethal Weapon 3,2138
944,Lethal Weapon 4,1962
946,Letter from an Unknown Woman,205
954,Mission: Impossible,6676
955,Mission: Impossible II,5030
956,Mission: Impossible III,5113
962,The Gold Rush,1103
964,The Phantom of the Opera,226
965,The Magnificent Ambersons,282
968,Dog Day Afternoon,2133
977,Tabu,103
979,Irr梨븎ersible,1953
980,The Ox-Bow Incident,237
985,Eraserhead,1764
989,The Mortal Storm,50
993,Sleuth,412
994,Straw Dogs,653
1039,Die Siebtelbauern,11
1040,Il gattopardo,524
1049,Sommersby,269
1050,?잛?맭,45
1052,Blow-Up,855
1091,The Thing,4930
1103,Escape from New York,2262
1115,Gespenster,18
1162,The Miracle Worker,203
1163,The Miracle Worker,26
1244,Das wilde Leben,27
1245,The Remains of the Day,896
1249,Hollywoodland,278
1251,Letters from Iwo Jima,1507
1252,Lonely Hearts,261
1253,Breaking and Entering,158
1255,?용?窺,1995
1256,In 3 Tagen bist du tot,54
1260,Leiutajatek泥큞a Lotte,8
1263,Die Aufschneider,8
1264,Die Wilden Kerle 4,51
1269,Neues vom Wixxer,89
1282,Dogtown and Z-Boys,113
1283,"Torrente, el brazo tonto de la ley",181
1284,Torrente 2: Misi泥쁭 en Marbella,128
1285,Torrente 3: El protector,114
1361,The Return of the King,90
1362,The Hobbit,193
1363,The Hi-Lo Country,60
1368,First Blood,4649
1369,Rambo: First Blood Part II,2809
1370,Rambo III,2303
1373,The Discovery of Heaven,16
1374,Rocky IV,3226
1380,Gleaming the Cube,97
1387,Superstar: The Karen Carpenter Story,42
1388,Der Lauf der Dinge,18
1389,Out of Sight,909
1397,Wege Gottes,1
1405,Greed,117
1408,Cutthroat Island,387
1411,The Rapture,49
1415,Party Monster,135
1417,El laberinto del fauno,8543
1418,Te doy mis ojos,160
1419,Vollidiot,46
1421,L'Homme qui aimait les femmes,130
1423,Flying Saucer Rock 'N' Roll,1
1424,November,30
1430,Bowling for Columbine,1171
1433,El espinazo del diablo,853
1435,Tarnation,55
1438,Regoch,2
1442,Full Metal Village,13
1443,The Virgin Suicides,2365
1448,The Wisdom of Crocodiles,70
1479,"Clean, Shaven",63
1480,Touch of Evil,1045
1481,Metal Skin,2
1482,Laws of Gravity,9
1484,Der Totmacher,25
1492,1492: Conquest of Paradise,570
1493,Miss Congeniality,3018
1495,Kingdom of Heaven,3100
1496,Cool as Ice,113
1497,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,791
1538,Collateral,4077
