,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
0,False,/qbMIu3e5HJlua3SnTQ5dSBZ74Vm.jpg,[18],537681,en,Giant Little Ones,"프랭키 윈터와 발라스 콜은 고등학교의 킹카들이다. 수영팀의 스타인 이들은 소녀들에게 인기가 많다. 프랭키의 열일곱 번째 생일 파티 날 밤 예상치 못한 사건이 발생하기 전까지 프랭키와 발라스는 완벽한 십 대의 삶을 누리고 있었다. 예민한 프랭키는 다양한 욕망과 경험에 대해 열려 있는 편이나 우두머리 성향의 발라스는 걱정이 많다. 이날 밤의 사건이 금방 소문나면서 이 둘과 학교 친구들, 학교, 부모들은 모두 이 결과에 대한 책임을 져야 하는 상황에 놓이게 된다.",11.618,/j4U3nFK1JcvfCm9SyBta2g0eTwU.jpg,2019-01-03,작은 거인들,False,7.4,174
1,False,/mWLljCmpqlcYQh7uh51BBMwCZwN.jpg,"[27, 53, 9648]",522681,en,Escape Room,"거액의 상금이 걸린 방탈출 게임에 초대된 6명의 사람들. 성별, 연령, 출신도 모두 다른 이들은 오직 초대장만을 가지고 세계 최고의 방탈출 게임 회사 ‘미노스’에 모인다. 하지만 초대자는 나타나지 않고, 예고도 없이 시작되는 게임. 불태워 죽일 듯이 순식간에 방안의 온도가 상승하고 6명의 참가자는 탈출하기 위해 단서를 찾기 시작한다. 죽음의 공포 속에서 아슬아슬하게 다음 방으로 넘어간 참가자들은 오븐 룸, 아이스 룸, 업사이드다운 룸, 포이즌 룸, 일루전 룸, 크러쉬 룸을 거치며 이것이 평범한 게임이 아니란 걸 알게 되는데…",50.142,/oIuHWfl4qV9ZYNgouBLeCHvYfyS.jpg,2019-01-03,이스케이프 룸,False,6.5,3446
2,False,/lFwykSz3Ykj1Q3JXJURnGUTNf1o.jpg,"[16, 10751, 12]",166428,en,How to Train Your Dragon: The Hidden World,"영원한 친구 히컵과 투슬리스의 활약으로 사람과 드래곤이 공존하며 평화롭게 살아가는 버크섬. 새로운 드래곤 ‘라이트 퓨어리’를 쫓아간 투슬리스를 찾다가 히컵은 누구도 찾지 못했던 드래곤의 파라다이스 ‘히든월드’를 우연히 발견하게 된다. 하지만 평화도 잠시, 역대 최악의 드래곤 헌터 그리멜의 등장으로 드래곤들의 안전과 버크섬의 평화까지 위협받기 시작하는데…",65.459,/51HTWy1h5a2cbXC9gKYGOt2YQBV.jpg,2019-01-03,드래곤 길들이기 3,False,7.8,4818
3,False,/1iUuWGnywpwgcoHQ1LS6TzXtqLt.jpg,[53],567738,en,American Hangman,,10.247,/xKoXpgqEk8RSezV05oRDCZP9fhT.jpg,2019-01-04,American Hangman,False,6.0,106
4,False,/xmLLkEhqIw0Me0wgO9ZhtP0MW7U.jpg,"[53, 18]",561362,en,Rust Creek,"대학 졸업반인 소여는 워싱턴의 한 회사에서 면접을 보러 오라는 연락을 받고 워싱턴으로 향한다. 그런데 현재 추수감사절 연휴시즌이라 차량 정체가 심하다는 라디오 방송을 듣고, 휴대폰 GPS를 이용해 다른 길로 향하지만... GPS의 오류로 인해 낯선 곳에서 길을 잃게 된다. 잠시 지도를 보기 위해 차를 세워 둔 소여에게 길을 알려주겠다며 홀리스터와 벅이 접근한다. 그러나 홀리스터의 음흉한 속내를 눈치 챈 소여는 불쾌한 내색을 비치고, 세 사람은 몸싸움을 벌이게 된다. 이 과정에서 다리에 큰 상처를 입은 소여는 간신히 두 남자를 따돌리고 숲속으로 도망을 친다. 날이 저물어 가는 숲속, 그녀는 어디로 가는지도 모른 채, 상처입은 다리로 도망치지만 결국 소여는 숲속에서 정신을 잃게 되고 마는데…",17.781,/pL2YL83c28Hyh0hu5NFzD97ukiR.jpg,2019-01-04,생존: 러스트 크릭,False,6.4,197
5,False,/jK4m8gjLT5D2PNwoC0jJ0dGmWMu.jpg,"[53, 9648]",449459,en,The Vanishing,"육지와 동떨어진 스코틀랜드의 작은 무인도. 이 섬의 등대를 관리하는 ‘토마스’, ‘제임스’, ‘도널드’는 난파된 보트에서 남자의 시신과 금괴가 든 나무상자를 발견한다. 시신을 없애고, 금괴를 나누어 가지기로 한 세 사람. 그러나 상자를 찾아 낯선 사람들이 섬에 나타나고, 사건은 예상치 못한 방향으로 흘러가는데…",16.306,/tx9QO35bT9Lk0CiiUBZn2hbEJnl.jpg,2019-01-04,키퍼스,False,5.6,522
6,False,/sFazY2Jp6tkEsWIqCWlQxC6hP1Y.jpg,[35],563907,it,Non ci resta che il crimine,,7.807,/tlKOGMzIaJY51NpgpqRsSd8oMNs.jpg,2019-01-10,Non ci resta che il crimine,False,5.9,374
7,False,/w7MsyOpP003FYhsiTgVHa3rNsrz.jpg,"[18, 12, 10751]",508763,en,A Dog's Way Home,"콜로라도 덴버 시에 사는 의학생 루카스는 버려진 핏불 테리어 강아지를 발견한다. 루카스는 녀석에게 벨라라는 이름을 지어주고, 벨라는 공 가져오기 놀이, 눈 볼일 놀이 등을 하며 루카스와 행복한 나날을 보낸다. 어느 날, 루카스는 덴버 시에서는 위험상의 문제로 핏불 테리어를 키울 수 없다는 규제를 알게 된다. 루카스는 거리로 나갔다가 경찰에게 걸릴 경우 벨라를 곧장 집으로 보내기 위해 ‘집으로 가’ 훈련을 시킨다. 하지만 결국 벨라를 압수 당하는데 이르자 루카스는 규제 없는 지역에 벨라를 입양 보내기로 결정하고, 루카스와 헤어진 벨라는 다시 집으로 돌아가기 위해 도망친다.  퓨마를 비롯한 다양한 동물 친구들과 사람들을 만나는 벨라. 시간이 흐를수록 루카스를 더욱 그리워하는 벨라는 ‘집으로 가’ 여정을 멈추지 않는데… 애교 충만 장난꾸러기 벨라의 가슴 뭉클한 ‘집으로 가’ 여정이 시작된다!",33.897,/xsoz1fdkrCCKCJUVBjlQRJS0sSS.jpg,2019-01-10,더 웨이 홈,False,7.2,775
8,False,/jdGfm589quvuyGNCv0BtqaAQrp4.jpg,"[878, 16, 28]",487672,en,Reign of the Supermen,,25.112,/e9TzqscNRUaG8HqEP3K1jUvi8pC.jpg,2019-01-10,레인 오브 더 슈퍼맨,False,7.2,451
9,False,/4lQQVRLc7OCEFH6OUaMztwiFPbQ.jpg,"[35, 18]",440472,en,The Upside,"떳떳한 가장이 되기 위해 직장이 필요한 ‘델’(케빈 하트)은 24시간 케어가 필요한 뉴욕의 주식부자 ‘필립’(브라이언 크랜스톤)과 면접을 본다. ‘이본’(니콜 키드먼)은 전과자에 무신경한 ‘델’이 못마땅하지만 ‘필립’은 자신을 동정하지 않는 ‘델’을 채용한다. 입 떡 벌어지는 주급에 좋은 가장이 될 수 있다는 꿈에 부푼 ‘델’, 기쁨도 잠시.. 첫 날부터 X센 극한직업이 시작되는데...  2012년 개봉한 프랑스 영화 '언터처블: 1%의 우정'의 미국 리메이크",18.177,/gRS4Ghk2JJ1b53Q9Z1soObN36lK.jpg,2019-01-10,업사이드,False,7.1,892
10,False,/nzMdjuUZ6LR3XheCG5VGwm5vYEY.jpg,"[27, 53, 9648]",431075,en,Polaroid,"친구들과의 코스튬 파티에서 오래된 폴라로이드 카메라로 인증사진을 찍어주게 된 고등학생 ‘버드’.  그날 이후, 친구들이 순서대로 끔찍한 죽음을 맞이하게 되고 자신이 죽음을 결정하는 카메라의 주인임을 알게 되는데…",65.483,/4BXnjH82etk3lqQ8j0G99IBPHMq.jpg,2019-01-10,폴라로이드,False,5.8,698
11,False,/2mU4rVU7CQBT3Rbk5JqofNA8nlX.jpg,"[10749, 16, 14]",573699,zh,白蛇：缘起,"당 말기, 국사(国师)는 백성들에게 대량으로 뱀을 잡아들이라는 명령을 내린다. 이 후 국사를 죽이려던 백사(白蛇) 샤오바이는 뜻밖에 기억을 잃고 소년 아쉔에게 구해지게 되고, 샤오바이의 기억을 찾는 걸 도와주기 위해 두 사람은 모험의 길에 나서게 된다. 함께 하며 서로에게 감정이 생기게 되지만 뱀 요괴라는 샤오바이의 신분이 점차 드러나게 되고, 한편으론 국사(国师)와 뱀족간은 피할 수 없는 대전이 벌어지려하며 두 사람의 사랑에도 거대한 난관이 닥쳐오게 되는데...",77.525,/hE7ShEHq3Hnb0l0Dh96zpgVwv3h.jpg,2019-01-11,백사 : 인연의 시작,False,7.8,244
