,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
0,False,/jiQRyCFXAgLBjnbYQxz04dxGWvR.jpg,"[80, 18, 9648, 10770]",379170,en,Sherlock: The Abominable Bride,"19세기 빅토리아 시대의 런던, 스스로 목숨을 끊은 리콜레티 부인이 되살아나 남편을 살해하는 기묘한 일이 발생한다. 심지어 유령신부는 다른 집 남편까지 응징하겠노라 예고한다. 카마이클 부인은 셜록(베네딕트 컴버배치)과 존(마틴 프리먼)에게 사건 해결을 의뢰하고, 둘은 메리(아만다 애빙턴)의 도움으로 유령신부가 여성 참정권 운동과 관련된 비밀 결사임을 알게 된다. 여자는 아무리 똑똑해도 집에서 살림하는 것 외에 그 어떤 사회 진출도 허용되지 않았던 시대, 학대에 참다 못한 여자들은 결국 반기를 일으키고, 오랜 시간 꿈꾸어왔던 여성 참정권 운동도 비밀리에 진행하고자 하는데...",25.067,/dcgWqDqfOHxX70dqVVqbswBNK08.jpg,2016-01-01,셜록: 유령신부,False,7.9,1925
1,False,/gCyHTnGrhUQM5jS2PWe7LFU7Npb.jpg,[35],374416,it,Quo vado?,,7.26,/9X8csv75uWcVspL3Mk9gSJhBJ0J.jpg,2016-01-01,Quo vado?,False,6.8,1831
2,False,/4rpGuAgfIBVSytvPoYYJfFjaxpF.jpg,"[16, 10751, 14]",366644,zh,小门神,한 중국인 가족이 운영하는 완탕가게 옆에 큰 식당이 생기고 옆 식당주인이 악랄한 방법으로 완탕가게를 없애려 하자 수호신이 나타나 도와준다는 내용의 애니메이션.,15.49,/34mHYXohSsyxu7QLJTG0IYW7zMr.jpg,2016-01-01,완탕 가게 수호신,False,5.8,106
3,False,/sBtLpesSh0pniKHGWZjgyxmtIks.jpg,"[18, 14]",258230,en,A Monster Calls,"기댈 곳 없이 빛을 잃어가던 소년 ‘코너’. 어느 날 밤, ‘코너’의 방으로 상상 속에서만 존재하던 거대한 ‘몬스터’가 찾아온다. ‘코너’는 매일 밤 그를 만나 이야기를 나누면서 외면했던 마음 속 상처들을 마주하게 되는데…",15.603,/ieUc1qssu5xH59jbVPbMqSFTJOI.jpg,2016-01-01,몬스터 콜,False,7.2,2675
4,False,/xWPMb2aOdkT2jTUOp6ZRjnwia6i.jpg,"[53, 10770]",375846,en,Bad Sister,,76.142,/jKrIlgfJPIWNeowaOZPBZuOPmq0.jpg,2016-01-03,Bad Sister,False,6.7,157
5,False,/lIH9Fho3q3xK44ztlHbD28YE3Vz.jpg,"[53, 18]",344041,en,Standoff,"아들을 잃은 후 세상으로부터 소외된 채 살아가는 전직 군인 카터(토마스 제인). 삶을 포기하려던 마지막 순간, 살려달라는 외침과 함께 12살 소녀를 만난다. 그녀는 무자비한 킬러 사드(로렌스 피시번)의 살인 현장 속 유일한 목격자!  마지막 타깃인 소녀를 처리하기 위해 사드는 카터의 집을 장악하고, 사드와 카터는 계단 하나를 두고 대치하는 상황이 벌어진다. 일촉즉발의 상황, 남은 것은 한 자루의 총과 두 발의 총알뿐!  위험 속에 홀로 남은 소녀를 구하기 위해  잃을 것 없는 두 남자의 전쟁이 시작된다!",20.667,/zoydpJJoFKkPhoQn8z8pbh9iHNM.jpg,2016-01-04,더 킬러: 소녀 살인,False,6.0,248
6,False,/nLpdnLNue3rybD9jVwQK3GbWGMl.jpg,"[27, 53]",368031,en,Unfriend,"하루에도 수십 명의 SNS 친구 신청을 받는 인기녀 로라는  어느 날 SNS 친구가 아무도 없는 의문의 소녀 마리나로부터 온 친구신청을 수락하게 된다.  언제나 외톨이였던 마리나는 단 하나뿐인 친구 로라에 대해 공포스러운 집착을 보이기 시작하고  두려움을 느낀 로라는 결국 마리나를 친구 목록에서 삭제해 버린다.  또 다시 혼자가 된 마리나는 꺼져버린 노트북 앞에서  끔찍하게 자살하는 동영상을 남긴 채 자취를 감춰버린다.  그날 이후, 기이하게도 로라의 SNS에 마리나의 자살 영상이 업로드 되고  로라의 주변 친구들까지 죽은 마리나의 SNS 친구 신청을 받게 된다.  꺼진 노트북, 스마트폰의 검은 화면 속 자신과 눈을 마주친  로라의 친구들은 연이어 끔찍한 자살을 하게 되고,  친구들의 자살 장면이 담긴 동영상이 차례대로 로라의 SNS에 업로드 되기 시작하는데…",16.311,/9Z80XV3ku97eNTQIyXdshqMh2RC.jpg,2016-01-07,언프렌드,False,5.5,1056
7,False,/t69bPtfoOa0hCfbOQILHAdvJZni.jpg,"[27, 53, 9648]",329440,en,The Forest,"‘자살의 숲’으로 불리는 후지산 속 ‘아오키가하라’. 그 곳에서 일란성 쌍둥이 동생 ‘제스’가 실종되었다는 소식을 듣게 된 ‘새라’는 동생을 찾기 위해 서둘러 도쿄로 향한다. 동생이 아직 살아있다고 확신하는 새라, 그녀는 우연히 흥미로운 기삿거리를 찾고 있는 저널리스트 ‘에이든’을 만나게 되고, 그들은 유일하게 숲의 길을 알고 있는 가이드 ‘미치’를 설득하여 제스를 찾아 나선다. 각각 다른 이유로 제스를 찾아야만 하는 세 사람은 이제 아무도 살아서 돌아올 수 없다는 숲으로 들어서는데…",18.757,/8PSehG0zUW0PWKakx4wXRUXYgFg.jpg,2016-01-07,포레스트: 죽음의 숲,False,5.2,1433
8,False,/1ee7AmCE5S40A8kCinvhFtNMLYD.jpg,"[28, 12, 53, 37]",362703,en,Diablo,"남북 전쟁이 끝난지 7년 후. 군에서 제대 후 산속에서 생활하던 잭슨은 어느날 나타난 맥시칸들에게 아내(카밀라 벨)를 납치당하고 만다. 집까지 잃어버린 잭슨은 이웃들의 도움으로 아내를 찾는 길을 떠나게 된다. 하지만 잭슨이 가는 길마다 나타나는 의문의 사내(월튼 고긴스)는 알 수 없는 말을 하며 잭슨을 사사건건 훼방을 놓고, 잭슨을 도운 인디언들까지 사살한다.  남쪽으로 향하던 중 같이 전쟁에 참전한 벤자민(대니 글로버)의 집에 들른 잭슨. 하지만 그곳까지 나타난 의문의 사태는 벤자민의 머리에 총을 겨누며 기도를 하라 외친다. 그러면서 드러나는 잭슨의 비밀...  맥시칸들은 왜 잭슨의 아내를 납치해 간 것이며, 의문의 사내는 왜 사사건건 잭슨의 앞길을 방해하는 것일까?",18.945,/6uAVDyWhkXfaMo09hNpyqR0xkFp.jpg,2016-01-08,디아블로,False,4.8,135
9,False,/s3iDgf9NrdL5QSElFK4iT5gaF5t.jpg,"[16, 14, 9648, 27, 28]",357786,ja,傷物語〈Ⅰ鉄血篇〉,"벚꽃이 흩날리는 3월 25일, 종업식 날의 오후.  고등학교 2학년인 아라라기 코요미는 자신과 같은 학교에 다니는 우등생 하네카와 츠바사와 조우한다.  하네카와로부터 ‘이 마을에 흡혈귀가 있다’는 소문을 듣게 된 코요미.  그날 밤, 거리에 나온 코요미는 지하철 승강장에서 피에 젖은 상태로 사지를 잃고 필사적으로 도움을 청하는 여자와 만난다.  그 여자는 하네카와가 말한 것처럼 금발 머리에 아름다웠고…  등줄기가 얼어붙을 정도로 차가운 눈을 갖고 있었다.",29.45,/5Na0SugRF7gVXz9lT5E6Zn5BiaT.jpg,2016-01-08,키즈모노가타리 I 철혈편,False,7.8,180
10,False,/u97rq6nIg6km4w1HD9W776FhI93.jpg,[35],375900,fr,Tout schuss,,5.344,/oU5EewvvB7EZ03ofs6mdzFc2roC.jpg,2016-01-13,Tout schuss,False,5.0,147
11,False,/jX9Dzf6kuWpFU5FfReJPqjdvoii.jpg,"[35, 18]",375527,fr,Et ta sœur,,7.322,/dPv7ZjcKWuDV3MABOJWT2zyGpZ8.jpg,2016-01-13,Et ta sœur,False,5.3,123
12,False,/cnunxkfoeEgOGoYPsvGxIBrzf2F.jpg,"[28, 35]",323675,en,Ride Along 2,고등학교 경비원에서 경찰이 된 벤은 여자친구 안젤라와의 결혼을 위해 형사인 그의 오빠 제임스에게 인정받고 싶어 한다. 이를 위해 벤은 제임스의 파트너를 자청해 마이애미의 마약 밀매 수사 현장에 뛰어든다.,27.825,/2433Vt8xuDnAIDAJTNx6DEtf9Qb.jpg,2016-01-14,라이드 어롱 2,False,6.2,1329
13,False,/3BczDWvcdznFBb6qSqoEwDTgDK3.jpg,"[18, 10749]",315880,en,La corrispondenza,세계 각국을 돌며 강연을 여는 저명한 교수 에드(제레미 아이언스)는 목숨만큼이나 사랑하는 오랜 연인 에이미(올가 쿠릴렌코)에게 언제나 화상 통화와 편지로 애틋한 사랑을 전한다.  평소와 다름없이 에드와 문자를 주고받던 에이미는 갑작스레 그의 사망 소식을 듣게 된다.  하지만 그 후에도 여느 때처럼 그녀에게 도착하는 에드의 사랑이 가득한 편지들은 슬픔에 빠진 에이미를 더욱 혼란스럽게 만드는데…,11.602,/C256NuFRUKvIsBXOXHEfXaZlvK.jpg,2016-01-14,시크릿 레터,False,6.3,336
14,False,/7ONuCirLPnIN5pqP3u73x4LHp7j.jpg,"[18, 10751]",308409,da,Kollektivet,"대저택을 상속 받은 에릭 부부와 그의 딸 프레아는 친구들과 함께 ‘공동체 생활’을 시작한다. 진한 우정과 깊은 사랑을 나누며 모두가 꿈꿔왔던 그들만의 유쾌한 생활을 만들어나가던 어느 날, 한 여자의 등장으로 그들의 평화롭던 사랑의 시대는 흔들리기 시작하는데…",11.853,/xUhZX4B9tvIfLRDtE3DGqbcukPK.jpg,2016-01-14,사랑의 시대,False,6.5,136
15,False,/ayDMYGUNVvXS76wQgFwTiUIDNb5.jpg,"[10752, 28, 36, 53, 18]",300671,en,13 Hours: The Secret Soldiers of Benghazi,2012년 9월 11일 리비아에서 끔찍한 테러 사건이 발생한다. 벵가지 소재 미국 영사관에 총기와 수류탄을 든 수십 명의 무장 괴한들이 침입하는 충격적인 사건이 벌어진 것. 벵가지에서 비밀리에 작전을 수행하고 있던 CIA를 보호하기 위해 파견된 6명의 민간 특수 용병들은 남아있는 사람들을 구하기 위해 일촉즉발의 구출작전에 나서게 되는데…,67.98,/rv0tfqkSXpRW1Eow5JwMVjxyfzG.jpg,2016-01-14,13시간,False,7.2,2576
