,0,1,2,3,4,5,6,7,8,9,10
0,ko,KR,THE SOCIAL DILEMMA Trailer (2020) Netflix,rvg0eY_Ls4Y,YouTube,1080,Trailer,False,2020-08-28 10:57:32 UTC,60545a481ad93b007498686e,656690
1,ko,KR,"악플러 죽이기 (De Kuthoer, The Columnist, 2020) 예고편 - 한글자막",amUdEWp31i0,YouTube,1080,Trailer,False,2020-07-15 12:30:09 UTC,616598e423851300614d0a9d,656770
2,ko,KR,[바디 브로커] 메인 예고편 | Body Brokers Trailer (2021),DwWpAZ1_7lo,YouTube,1080,Trailer,False,2021-07-08 06:50:06 UTC,60f0ce03dd926a00801eb335,656940
3,ko,KR,[태일이] 제작 과정 영상,vOUKYwMRs1U,YouTube,1080,Behind the Scenes,False,2021-11-16 22:30:10 UTC,61a1b3117f1d830044a4f6e4,658210
4,ko,KR,[태일이] 메인 예고편,EBRf5RSRwz8,YouTube,1080,Trailer,False,2021-10-29 09:00:04 UTC,61a1b3083dc31300917d6ff1,658210
5,ko,KR,Trailer | BIFF2021 태일이 Chun Tae-il l 한국영화의 오늘-파노라마,SNw2UJrHRvA,YouTube,1080,Trailer,False,2021-09-28 06:36:02 UTC,615a5884dd731b0029c219c7,658210
6,ko,KR,'태일이' 제작기 영상,xr-jqWQ61J8,YouTube,1080,Behind the Scenes,False,2020-11-09 05:16:27 UTC,60d885d4d11e0e007635ecc1,658210
7,ko,KR,영화 [썸머 85] 메인예고편,TyyVbTzJScE,YouTube,1080,Trailer,False,2020-12-04 09:36:50 UTC,5fca0757dcf875003f407230,659959
8,ko,KR,썸머85 런칭 예고편,pDzyFEYzdPs,YouTube,1080,Teaser,False,2020-11-30 01:17:47 UTC,5fc4e2562f8d0900410d40de,659959
9,ko,KR,"[메이드 인 이태리] 메인 예고편, 리암 니슨이 선택한 로맨틱 힐링 드라마!",NSgZM3zjy_8,YouTube,1080,Trailer,False,2021-10-22 01:00:10 UTC,61741d0e894ed6002336f450,659991
10,ko,KR,'폴리스' 메인 예고편,zJSf5VNonp4,YouTube,1080,Trailer,False,2021-02-04 06:08:32 UTC,601bc0487314a1003bfd1869,660330
11,ko,KR,[늑대와 빨간 재킷] 메인 예고편,2k9ydcjQZ1M,YouTube,1080,Trailer,False,2021-01-20 02:34:17 UTC,6007e1773520e8004a62f9b7,660335
12,ko,KR,[늑대와 빨간 재킷] 1차 예고편,BNn0hlD0o0I,YouTube,1080,Teaser,False,2021-01-20 02:29:11 UTC,6007e18b4d0e8d003e6d1be6,660335
13,ko,KR,#칼리버9 #마피아워 티저 예고편,tHybSBqo6IQ,YouTube,1080,Teaser,False,2021-11-15 10:00:04 UTC,61923a906ca9a000672e0fba,660598
14,ko,KR,와인을 딸 시간 | 공식 예고편 | Netflix,9LLCaYbg_BA,YouTube,1080,Trailer,True,2020-03-09 15:00:02 UTC,5e7867fbd18b24001781752a,660609
15,ko,KR,Trailer | BIFF2021 일 부코 Il Buco l 월드 시네마,yxypS9VQDb0,YouTube,1080,Trailer,False,2021-09-28 02:34:38 UTC,615a5a2d8e8702005fd3ee4c,660708
16,ko,KR,Trailer | BIFF2021 애프터 블루(더티 파라다이스) After Blue (Dirty Paradise) l 월드 시네마,qUbZiMfCkqs,YouTube,1080,Trailer,False,2021-09-16 06:15:01 UTC,615a79a643d9b100953190df,660715
17,ko,KR,더러운 아내 (2019 성인영화),v8t3K-Pfkhg,YouTube,1080,Trailer,False,2020-05-05 11:40:47 UTC,5ef2d0f76beaea0035529c93,660803
18,ko,KR,#패션오브크라이스트브릭무비 메인 예고편,BV_bCyY09Lk,YouTube,1080,Trailer,False,2020-12-25 08:24:48 UTC,60083c40176a9400500ac8ac,661138
19,ko,KR,#패션오브크라이스트브릭무비 메인 예고편,yi9AsjCm1RA,YouTube,1080,Trailer,False,2020-12-24 17:47:11 UTC,600c4d0c371097003fa23d54,661138
20,ko,KR,"영화 [러브 어페어: 우리가 말하는 것, 우리가 하는 것] 1차 예고편(한글) : 2021.11.11 : 로맨스",hDfOaGbWh34,YouTube,1080,Trailer,False,2021-10-08 06:50:52 UTC,617977a9f2cf25004385f7ec,661935
21,ko,KR,"얼론 (Alone, 2020) 티저 예고편 - 한글 자막",JKQkWymkb4M,YouTube,1080,Trailer,False,2020-10-30 13:46:12 UTC,6063557a8f26bc002a6b0a01,661950
22,ko,KR,새콤달콤 | 공식 예고편 | 넷플릭스,73pqpAn34I8,YouTube,1080,Trailer,True,2021-05-17 00:00:00 UTC,60a23dced4cc8e002a15c6e6,662237
23,ko,KR,새콤달콤 | 티저 예고편 | Netflix,XzCZv8c9M6c,YouTube,1080,Teaser,True,2021-05-03 00:00:00 UTC,608fc86ba097dc00299d341a,662237
24,ko,KR,#BIFF2020 Icons - The Woman Who Ran / 아이콘 - 도망친 여자,J38Yz2NYRpQ,YouTube,1080,Trailer,False,2020-09-17 08:00:02 UTC,5f6834121b1f3c0038aa1508,662401
