,0,1,2,3,4,5,6,7,8,9,10
0,ko,KR,【残り9日】衝撃BL映画「性の劇薬」2/14公開,fcmI3VUfgcw,YouTube,1080,Trailer,False,2020-02-05 02:00:04 UTC,602694e11d019100424df227,715756
1,ko,KR,Assassin's Game | Trailer | Vernard Adams | Demond Ballou | Jassen Bruegman | Keith Collins II,OOMTlbB66FU,YouTube,1080,Trailer,True,2020-06-08 18:41:27 UTC,601abf58fb3f61003fcb6bcf,716117
2,ko,KR,시누이의 맛 (성인영화),3yqeDFRgs10,YouTube,1080,Trailer,False,2020-06-05 06:08:13 UTC,5efa0fc0be7f350032a19de6,716263
3,ko,KR,무림수사관 예고편 스크리너 210916,AMLCGLbv8NQ,YouTube,1080,Trailer,False,2021-11-02 02:30:32 UTC,61836ef2e93e9500625d61c5,716466
4,ko,KR,#들리나요 메인 예고편,aNoj5sCaaiI,YouTube,1080,Trailer,False,2020-05-29 04:00:00 UTC,6017e0efe942ee0042f1190c,716637
5,ko,KR,映画『461個のおべんとう』予告映像,QVH2LKw6nXU,YouTube,1080,Trailer,False,2020-08-24 20:22:33 UTC,60d83f700ff15a0030b37e45,716799
6,ko,KR,[잔칫날] 30초 예고편,yDlzFeawOSM,YouTube,1080,Teaser,False,2020-11-18 17:08:16 UTC,5fcf76f257530e003f8f420c,716839
7,ko,KR,"영화 [귀신] 메인 예고편 : 정이랑, 함건수, 최이태 : 2021.08.25 : 공포 코미디",cjVLwxEDFdg,YouTube,1080,Trailer,False,2021-08-17 04:40:39 UTC,612474af501cf20075aca835,716850
8,ko,KR,[고백] 30초 예고편,ul31-f8YK14,YouTube,1080,Teaser,False,2021-02-09 05:19:23 UTC,6023989cbc2cb3003da2dfdd,716854
9,ko,KR,[고백] 캐릭터 사건 영상,llSE4i9NdUA,YouTube,1080,Featurette,False,2021-02-03 01:40:45 UTC,601a0eae87a27a003ee76a4a,716854
10,ko,KR,[고백] 메인 예고편 (2월 24일 개봉),3fJFgIk2wQE,YouTube,1080,Trailer,False,2021-02-02 06:47:14 UTC,601a0ea4ca0e17003e4b8b7c,716854
11,ko,KR,[고백] 메인 예고편 (2월 17일 개봉),0LQNhMQGyIs,YouTube,1080,Trailer,False,2021-01-25 09:22:04 UTC,600eda294d0e8d003f797225,716854
12,ko,KR,[고백] 메인 예고편,OfRr7x0dFF4,YouTube,1080,Trailer,False,2021-01-19 06:20:03 UTC,6007e1fe31644b00406baf4b,716854
13,ko,KR,이 안에 외계인이 있다(There is an Alien Here) / 메인 예고편,dtBt3--nwhg,YouTube,1080,Trailer,False,2021-01-20 06:50:56 UTC,60083e62075288003f73d530,716858
14,ko,KR,"영화 [좀비크러쉬: 헤이리] 티저 예고편 : 박소진(걸스데이), 공민정, 이민지 : 2021.06 : 액션",uBQEC3t106w,YouTube,1080,Trailer,False,2021-06-01 06:29:48 UTC,60db2e998805510045895bbb,716863
15,ko,KR,인천스텔라 메인 예고편,GSpyFf0DF5w,YouTube,1080,Trailer,False,2021-03-03 12:51:28 UTC,6040fc9b7ecd2800430d1240,716875
16,ko,KR,[예고편] 극한의 자살 임무를 확인하라! 산악 전쟁 액션 '레컨(RECON)',aCjV6jXsd74,YouTube,1080,Trailer,False,2021-02-17 06:59:09 UTC,602d28ccc3bffe004134833f,717042
17,ko,KR,"영화 [침묵의 숲] 메인 예고편(한글) : 진연비, 리우 쥬 촨, 김현빈 : 2021.11 : The Silent Forest",zfz--AD05fg,YouTube,1080,Trailer,False,2021-10-14 06:25:10 UTC,616824e58c22c00044188136,717395
