,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
100,False,/jFINtstDUh0vHOGImpMAmLrPcXy.jpg,"[28, 27, 35]",643586,en,Willy's Wonderland,차가 고장난 주인공이 수리비 대신에 버려진 테마파크에서 하룻밤 청소부로 일하며 악령이 씐 인형 로봇들을 상대로 사투를 벌이는 이야기,95.178,/keEnkeAvifw8NSEC4f6WsqeLJgF.jpg,2021-02-12,윌리의 원더랜드,False,6.5,399
101,False,/5WPKkfVcMtQ0YOvSovbmxvNq3i1.jpg,"[27, 53]",565028,en,Candyman,"들어봤니?  미지의 존재 캔디맨  비주얼 아티스트 ‘안소니’는 새 작품 구상을 위해 어릴 적 살던 도시로 돌아가고,  그곳에서 오래 전부터 떠돈 괴담을 듣고 매혹되면서 ‘캔디맨’에 대한 충격적인 비밀을 알게 되는데...  불러봤니?  죽음을 부르는 남자 캔디맨  세상을 뒤흔든 미지의 존재  캔디맨, 캔디맨, 캔디맨, 캔디맨...  한 번만 더 부르면 그가 나타나게 되는데…  용기가 있다면 그의 이름을 불러봐",93.505,/dvV781x0yNiKS7Bs8EPWQvjukE3.jpg,2021-08-25,캔디맨,False,6.3,639
102,False,/1Yc5hIRh3skhsEKLbCHE7v1FBOa.jpg,"[28, 878, 53]",513310,en,Boss Level,"늘 똑같은 아침 7시가 되면 일어나 정체모를 킬러들과 숨막히는 추격전을 벌여야하는 남자 '로이'.  무한 타임루프 속에서 매일 죽고 살기를 반복하다 불현듯 그의 숨겨진 액션 본능이 눈을 뜨게 되는데...  145번째 아침, 오늘부턴 내가 킬러가 된다!",73.96,/3XgBdc3P3b8QLFD7HCBYyKTDNi3.jpg,2021-02-19,리스타트,False,6.9,798
103,False,/sNQWRiwOc1R261yg7XVXxq0b5F9.jpg,[16],812456,en,Barbie & Chelsea: The Lost Birthday,,104.193,/yZdVDxLXbz4yucwMy1yTCGTYNVC.jpg,2021-05-14,Barbie & Chelsea: The Lost Birthday,False,7.2,64
104,False,/l3dsea9EVfgotxu72QRYq4NVMVU.jpg,[18],541524,en,Passing,"1920년대 뉴욕, 한 흑인 여인이 어린 시절 친구를 다시 만난다. 같은 흑인이지만 백인으로 살고 있는 친구. 그렇게 과거의 인연과 다시 엮인 후, 여인의 삶은 송두리째 흔들리기 시작한다.",87.084,/jXp6ERnrFdG04Gli3d34GtANsuw.jpg,2021-10-27,패싱,False,6.6,75
105,False,/mMoG4nPSDupXIXOwVvpexZY2W0N.jpg,"[28, 18, 53]",254128,en,San Andreas,"샌 안드레아스 단층이 마침내 끊어져 규모 9의 강진이 발생하자 구조헬기 조종사 드웨인 존슨은 사이가 멀어진 아내와 함께 외동딸을 구하기 위해 최악의 상황 속으로 뛰어든다. 세상이 무너지는 마지막 순간, 당신은 어디에서 누구와 함께 할 것인가!",99.962,/2ApoIxn6Bmtcj7BSXd8Cuyvd1QY.jpg,2015-05-27,샌 안드레아스,False,6.2,6906
106,False,/msg5qdBIOceHaNNQfwF4Esa0UVD.jpg,"[12, 28, 16]",50723,ja,劇場版 NARUTO -ナルト- 疾風伝 ザ・ロストタワー,"그 야망을 저지하라!  호카게 츠나데로부터 임무를 받은 나루토는 사쿠라, 야마토와 함께 도망친 닌자 무카데를 쫓아 모래에 가려져있는 폐가 ‘로우란’에 도착한다.  무카데가 노리는 것은 로우란의 지하에 잠들어 있는 ‘용맥’. 결판을 내기 위해 폐허 속 깊은 곳으로 향하는 나루토.  하지만, 무카데에 의해 봉인이 풀린 ‘용맥’의 힘에 삼켜져 버리고 마는데…",107.308,/kMKhM7RUhA4j3yH9oTi1FN8cZJE.jpg,2010-07-31,나루토 질풍전 극장판 4기 - 더 로스트 타워,False,7.0,266
107,False,/u3tkHXc5wzRFfRXyjGsAlfCIJuh.jpg,"[18, 28, 53, 10752]",16869,en,Inglourious Basterds,"2차 세계 대전, 나치의 잔인하고 폭력적인 행태에 분개한 미군 알도 레인 중위는 당한 만큼 돌려준다는 강렬한 신념으로 최고의 재능을 가진 8명의 대원을 모아 바스터즈란 군단을 만들어 나치가 점령한 프랑스에 잠입해 복수를 시작한다. 어느 날 알도 레인 중위는 독일의 여배우이자 영국의 더블 스파이인 브리짓에게 뜻밖의 소식을 듣는다. 나치 수뇌부가 모두 참석하는 독일 전쟁 영화의 프리미어에 히틀러도 참석을 한다는 것. 한 번에 나치를 모두 쓸어버릴 계획으로 바스터즈는 이탈리아 영화 관계자로 분장해 극장으로 향하는데...",89.997,/u8gcf764K5wBBDoXlQtnkOtVeHR.jpg,2009-08-19,바스터즈: 거친 녀석들,False,8.2,17824
108,False,/bNgqt819qpHcszjCzLCG5y16ldF.jpg,"[16, 12, 10751, 14, 35, 28]",49519,en,The Croods,"태어나서 지금까지 동굴 주변을 떠난 적 없는 크루즈 패밀리. 동굴 밖에 온갖 위험이 도사리고 있다고 믿고 있는 아빠 ‘그루그(니콜라스 케이지)’는 해가 지면 어느 누구도 밖으로 나갈 수 없게 한다. 하지만 어느 날 동굴이 무너지는 초유의 사태가 발생하고, 크루즈 패밀리는 새로운 보금자리를 찾아 난생처음 세상에 발을 디디게 된다. 여기에 호기심 충만한 ‘가이(라이언 레이놀즈)’까지 합세하게 되면서 이들의 본격적인 모험이 시작되는데....  평생 마을 밖을 떠난 적 없는 겁쟁이 가족의 흥미진진 어드벤쳐!  신세계를 발견한 그들의 모험이 시작된다!",95.082,/xD2Tk413ltbWM5hzwmYczb2TQLU.jpg,2013-03-15,크루즈 패밀리,False,6.9,5708
109,False,/ouOojiypBE6CD1aqcHPVq7cJf2R.jpg,[53],578701,en,Those Who Wish Me Dead,"화재 현장에서 세 명의 아이를 구하지 못한 죄책감과 트라우마로 감시탑에 배정된 공수소방대원 한나는 거대 범죄의 증거를 가지고 도주 중인 소년을 만난다. 한편 소년을 쫓던 두 명의 킬러는 사람들의 눈을 돌리기 위해 불을 내고 삽시간에 번져가는데…  죽이려는 자와 지키려는 자, 거대한 불길 속에서 치닫는 생사를 건 대결. 그날 밤, 삶과 죽음이 타오르는 불길 속에 모두가 있었다!",98.677,/aMikd8jW6lZGmJgJ158biCjbNqZ.jpg,2021-05-05,내가 죽기를 바라는 자들,False,6.9,950
110,False,/waCRuAW5ocONRehP556vPexVXA9.jpg,"[28, 878]",603,en,The Matrix,"인간의 기억마저 AI에 의해 입력되고 삭제되는 세상, 진짜보다 더 진짜 같은 가상 현실 매트릭스. 그 속에서 진정한 현실을 인식할 수 없게 재배되는 인간들. 그 매트릭스를 빠져 나오면서 AI에게 가장 위험한 인물이 된 모피어스는 몇 안 되는 동료들과 함께 기계와의 전쟁 전후의의 폐허를 떠돌며 인류를 구할 마지막 영웅을 찾아 헤맨다. 마침내 모피어스는 낮에는 평범한 회사원 앤더슨으로, 밤에는 해커로 활동하는 청년 네오를 그로 지목한다. 모피어스의 지시대로 그를 만나게 된 네오는 두개의 알약 중 하나를 고르는 선택을 하게 되는데...",101.526,/yI9r0iz2XvlevxUzxvdoQmv3yce.jpg,1999-03-30,매트릭스,False,8.2,20307
111,False,/zEddiBK6yZNUGVnmBJzmnYcEWiR.jpg,"[18, 53, 27]",630240,fr,Titane,"어린 시절 교통사고로 뇌에 티타늄을 심고 살아가던 한 소녀가 기이한 욕망에 사로잡혀 일련의 사건에 휘말린다. 그러던 어느 날, 그녀가 10년 전에 실종된 아들을 찾고 있는 한 남자를 만나게 되면서 벌어지는 이야기다. 호러, SF, 스릴러, 범상치 않은 러브스토리. (제26회 부산국제영화제)",99.886,/xrDachVoNFJFjvowwZ8m1P23DBy.jpg,2021-07-14,티탄,False,6.6,383
112,False,/mYM8x2Atv4MaLulaV0KVJWI1Djv.jpg,"[28, 80, 53]",804435,en,Vanquish,"국가 영웅이었던 전직 경찰국장은 도시를 장악한 5대 조직과 사건에 휘말린다. 그는 마약 운반책이었으나 손을 씻은 그녀의 딸을 볼모로 잡고 위험한 미션을 제안한다. 단 하룻밤, 5대 조직으로부터 5번의 픽업을 하라! 그녀의 킬러 본능이 폭발하고, 도시는 전쟁으로 치닫는데… 오늘 밤, 그녀의 분노가 폭주한다!",98.195,/AoWY1gkcNzabh229Icboa1Ff0BM.jpg,2021-04-16,뱅퀴시,False,5.9,169
113,False,/mA9PrseviOSHkM2lZja9FAUoarN.jpg,"[35, 10751]",800823,es,A todo tren: destino Asturias,,101.743,/wEbBaFX7DBSrv0GbLvJFZXQ7Sdw.jpg,2021-07-08,A todo tren: destino Asturias,False,4.7,37
114,False,/2nJJxHjBTDVDIbpHylCsDVQ3alG.jpg,[18],716612,en,Spencer,,78.013,/yPYrSeajRy98m4ERalJHpYlvImS.jpg,2021-11-04,스펜서,False,7.4,149
115,False,/buop8brXQ8gGiOPrVTxZZUqE8Oa.jpg,"[27, 53, 9648]",723072,en,Host,"팬데믹, 락다운과 함께 자가격리를 시작한 ‘헤일리’와 친구들. ‘줌’을 통해 랜선 미팅을 연 그들은 금기를 어기고 영혼과의 대화를 시도한다. 위험한 놀이에는 혹독한 대가가 따르는 것도 모르는 채.",88.2,/52SgH0kLiSpWdJDOZvhAyy34uhe.jpg,2020-12-04,호스트: 접속금지,False,6.7,442
116,False,/dasEWdFNSobYvY8xWcfz3z02kTu.jpg,"[28, 12, 14]",209112,en,Batman v Superman: Dawn of Justice,슈퍼맨과 조드 장군의 격렬한 전투 이후 메트로폴리스는 파괴되었고 슈퍼맨은 세계 최고 논쟁의 인물이 되어 버린다. 검증되지 않은 신과 같은 능력을 지닌 슈퍼맨의 등장에 사람들은 두려움에 빠지게 된다. 한편 배트맨은 그 동안 타락했던 많은 자들처럼 슈퍼맨 역시 언젠가 타락을 할 것이라 생각하며 사회에서 가장 위험한 존재로 여긴다. 세계의 미래를 위해 무모하고 제어할 수 없는 힘을 가진 슈퍼맨으로 인해 벌어졌던 일들을 바로 잡으려 한다. 배트맨과 슈퍼맨이 격돌하는 사이 인류를 위협할 새로운 위기가 빠르게 부상하기 시작하는데...,79.715,/nfdgwCossZkIEEaQ4iR80mX2iR3.jpg,2016-03-23,배트맨 대 슈퍼맨: 저스티스의 시작,False,5.9,15299
