,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,cast_id,character,credit_id,order,movie_id
35,False,2,1743499,Acting,Simon Connolly,Simon Connolly,0.98,/izjjkm0MdaObxkP8t7Cb3gqUZX7.jpg,124,Grieving Father,6157db1a81c7be0064a1e106,35,580489
36,False,1,1504937,Acting,Rachel Handshaw,Rachel Handshaw,0.98,/8QWc14rdCg60eLKIbnuZchNuU7B.jpg,125,Grieving Mother,6157db2969eb900061d18d99,36,580489
37,False,1,1467124,Acting,Amanda Foster,Amanda Foster,1.4,/g4znsY8XS17dnpH0PKV3Co8FbIR.jpg,126,Victim's Sister,6157db3ddd731b0042acf7f3,37,580489
38,False,2,1322309,Acting,Akie Kotabe,Akie Kotabe,0.937,/89qQru3SueSpKPhAb1MgoIZEnen.jpg,127,Victim's Brother,6157db508e2ba6008bdfffb2,38,580489
39,False,0,1985977,Acting,Eric Sigmundsson,Eric Sigmundsson,0.6,/25d39zqpgnuCOi7FXnVZfgA2vk7.jpg,128,Startled Witness,6157db688e2ba6008bdffffb,39,580489
40,False,1,2509946,Acting,Chabris Napier-Lawrence,Chabris Napier-Lawrence,0.98,/u3Kwn6hjMjg33XS51WBDF611KCE.jpg,129,Ravenscroft Guard,6157db86f10a1a002ba3cca2,40,580489
41,False,2,2509927,Acting,Larry Olubamiwo,Larry Olubamiwo,0.98,/3LTOTc2E8kRumk9C04hMSwGG8JA.jpg,37,Ravenscroft Guard,60b3aaf3a61de10057a02fdf,41,580489
42,False,2,2486147,Acting,Jose Palma,Jose Palma,0.98,/27aw7tXkfZZW2Zdqrf3OSVzOus0.jpg,130,San Quentin Last Meal Guard,6157dbcf81c7be0064a1e242,42,580489
43,False,0,1457942,Crew,Ashlen Aquila,Ashlen Aquila,0.828,,131,San Quentin Last Meal Guard,6157dbefdd731b0042acf98f,43,580489
44,False,2,3255774,Acting,Jamal Ajala,Jamal Ajala,0.6,,132,Ravenscroft Orderly,6157dc0e1c635b00447c7084,44,580489
45,False,2,1940433,Acting,James D. Weston II,James D. Weston II,0.6,/5Syon9PTMAdxPMkFNcfgxe91pji.jpg,133,San Quentin Commander,6157dc3f67dcc9008cf1c81a,45,580489
46,False,0,3255776,Acting,Che Amaro,Che Amaro,0.6,,134,San Quentin Guard,6157dc54dd731b0029bca715,46,580489
47,False,0,3255777,Acting,Joshua Eldridge-Smith,Joshua Eldridge-Smith,0.6,,135,Sympathetic Guard,6157dc7907e281004467baf6,47,580489
48,False,1,192821,Acting,Rosie Marcel,Rosie Marcel,1.4,,136,Detective in Bathroom,6157dc8e1c635b0063034229,48,580489
49,False,0,2412225,Acting,Elliot Cable,Elliot Cable,0.6,,137,Host Pre Carnival #1,6157dca3dd731b006208deb4,49,580489
50,False,0,2157784,Acting,Amber Sienna,Amber Sienna,4.365,/wRCmhzlWZ019vjSmkISAJbVXxTi.jpg,26,Party Guest (uncredited),6066e1902cefc2006f61d3d6,51,580489
51,False,2,18999,Acting,J.K. Simmons,J.K. Simmons,9.089,/7kIiPojgSVNRXb5z0hiijcD5LJ6.jpg,146,J. Jonah Jameson (uncredited),615c6289363909002c86a46a,52,580489
52,False,2,1136406,Acting,Tom Holland,Tom Holland,63.806,/2qhIDp44cAqP2clOgt2afQI07X8.jpg,147,Peter Parker / Spider-Man (uncredited),615c631869eb90008a4142ce,53,580489
53,False,2,18918,Acting,Dwayne Johnson,Dwayne Johnson,33.478,/kuqFzlYMc2IrsOyPznMd1FroeGq.jpg,2,John Hartley,5aac343892514116b7004626,0,512195
54,False,2,10859,Acting,Ryan Reynolds,Ryan Reynolds,43.06,/4SYTH5FdB0dAORV98Nwg3llgVnY.jpg,13,Nolan Booth,5d23cf7069d2800010011045,1,512195
55,False,1,90633,Acting,Gal Gadot,Gal Gadot,27.976,/AbXKtWQwuDiwhoQLh34VRglwuBE.jpg,9,Sarah Black / The Bishop,5b1ea4290e0a261010008a2d,2,512195
