,success,status_code,status_message,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
0,False,34.0,The resource you requested could not be found.,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,False,/p1vuGy0H15KR0eCKnOBIuHewjB2.jpg,,0.0,"[{'id': 18, 'name': '드라마'}, {'id': 35, 'name': '코미디'}]",,710001.0,tt11737756,gu,ગોળકેરી,,1.171,/lrz9kb2i43QjbYLPZN2j7YclvvN.jpg,"[{'id': 134808, 'logo_path': None, 'name': 'Soul Sutra', 'origin_country': ''}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",2020-02-28,0.0,128.0,"[{'english_name': 'Gujarati', 'iso_639_1': 'gu', 'name': ''}]",Released,,ગોળકેરી,False,0.0,0.0
2,,,,False,,,0.0,"[{'id': 28, 'name': '액션'}, {'id': 37, 'name': '서부'}]",,710002.0,tt0311853,en,Squatters Rights,,0.6,,"[{'id': 83304, 'logo_path': None, 'name': 'Aywon Film', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1919-01-01,0.0,20.0,[],Released,,Squatters Rights,False,0.0,0.0
3,,,,False,,,0.0,"[{'id': 27, 'name': '공포'}, {'id': 35, 'name': '코미디'}]",,710003.0,tt7604600,en,Family Game Night,,0.6,/1EM3yIxQL53EYcG5Ay26XYM2GDT.jpg,[],"[{'iso_3166_1': 'CA', 'name': 'Canada'}]",2018-04-17,0.0,12.0,[],Released,,Family Game Night,False,2.0,1.0
4,,,,True,,,0.0,[],,710004.0,,en,I Need Help!,,0.876,/kprEDNu2OwDckhyokkht2Xc9BUf.jpg,"[{'id': 65183, 'logo_path': '/v3s18roONK9l95oXcqMb0GxrRT.png', 'name': 'Porn Fidelity', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2020-05-28,0.0,167.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,I Need Help!,False,0.0,0.0
5,,,,False,,,0.0,[],,710005.0,,en,Movie That Invites Pausing,,0.6,/nexjYjqIPVQLZCj0JUZXVgtpbdn.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2020-05-28,0.0,24.0,"[{'english_name': 'No Language', 'iso_639_1': 'xx', 'name': 'No Language'}]",Released,,Movie That Invites Pausing,False,0.0,0.0
6,,,,False,,,0.0,[],,710006.0,,bn,Heart Beat,,0.6,,[],[],,0.0,39.0,"[{'english_name': 'Bengali', 'iso_639_1': 'bn', 'name': 'বাংলা'}]",Released,,Heart Beat,False,0.0,0.0
7,,,,False,/wlMOnLIzbiATshCICDU2sHFAkf2.jpg,,0.0,"[{'id': 14, 'name': '판타지'}, {'id': 18, 'name': '드라마'}]",,710007.0,tt8599526,it,Carillon,,0.889,/4TGoDGEkc5DEQFVR16Of8LkmEpT.jpg,"[{'id': 134774, 'logo_path': None, 'name': '4th Wall Pictures', 'origin_country': ''}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}]",2018-06-10,0.0,8.0,"[{'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,Carillon,False,7.0,1.0
8,,,,False,,,0.0,"[{'id': 18, 'name': '드라마'}]",,710008.0,tt1556186,pt,Marginais,,1.093,/fzips2STuhtIejI4qDwE6uDJbNn.jpg,"[{'id': 10598, 'logo_path': None, 'name': 'Costa do Castelo Filmes', 'origin_country': 'PT'}]","[{'iso_3166_1': 'PT', 'name': 'Portugal'}]",2010-09-16,0.0,75.0,"[{'english_name': 'Portuguese', 'iso_639_1': 'pt', 'name': 'Português'}]",Released,,Marginais,False,0.0,0.0
9,False,34.0,The resource you requested could not be found.,,,,,,,,,,,,,,,,,,,,,,,,,
10,False,34.0,The resource you requested could not be found.,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,True,/8wsOie1RWdA9SLVQMOlszvmUlqg.jpg,,0.0,[],,710011.0,,en,My Sister's Hot Friend 69,,0.627,/73ikZdjwEAuCyHOiTVEUXTcMVa5.jpg,"[{'id': 6316, 'logo_path': '/5ZbxuiVfz8g5gBNrrmXLfuCapP9.png', 'name': 'Naughty America', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2020-07-20,0.0,162.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,My Sister's Hot Friend 69,False,0.0,0.0
12,,,,False,,,0.0,"[{'id': 99, 'name': '다큐멘터리'}]",,710012.0,tt5232270,pt,Em Honra de São Gualter,,0.6,,"[{'id': 123741, 'logo_path': None, 'name': 'Real Ficção', 'origin_country': ''}]","[{'iso_3166_1': 'PT', 'name': 'Portugal'}]",2012-01-01,0.0,30.0,"[{'english_name': 'Portuguese', 'iso_639_1': 'pt', 'name': 'Português'}]",Released,,Em Honra de São Gualter,False,0.0,0.0
13,,,,True,,,0.0,[],,710013.0,,en,Greek Holiday 2: Cruising Mykonos,,1.043,/51yEbNUgD1bw78mGmwxouB9ytTx.jpg,"[{'id': 8773, 'logo_path': '/hqvLVeaqfTg5dr8310X4EBxwRwi.png', 'name': 'BelAmi Entertainment', 'origin_country': 'CZ'}]","[{'iso_3166_1': 'CZ', 'name': 'Czech Republic'}]",2006-01-01,0.0,150.0,"[{'english_name': 'Czech', 'iso_639_1': 'cs', 'name': 'Český'}]",Released,,Greek Holiday 2: Cruising Mykonos,False,6.0,1.0
14,,,,False,,,0.0,"[{'id': 99, 'name': '다큐멘터리'}]",,710014.0,tt8379906,pt,"Infância, Adolescência, Juventude",,0.6,/fVzmHzGxbGUI1lr5xrdn6MQXgyd.jpg,"[{'id': 16582, 'logo_path': None, 'name': 'David & Golias', 'origin_country': 'PT'}]","[{'iso_3166_1': 'PT', 'name': 'Portugal'}]",2019-11-28,0.0,96.0,"[{'english_name': 'Portuguese', 'iso_639_1': 'pt', 'name': 'Português'}]",Released,,"Infância, Adolescência, Juventude",False,0.0,0.0
15,,,,True,/fgeM5vgMu4YJixK7aMt2uVfY0eZ.jpg,,0.0,[],,710015.0,,en,Naughty Office 68,,0.628,/w8jjSVoI9klzDS2GNJY6fHBOVCQ.jpg,"[{'id': 6316, 'logo_path': '/5ZbxuiVfz8g5gBNrrmXLfuCapP9.png', 'name': 'Naughty America', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2020-07-30,0.0,150.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Naughty Office 68,False,0.0,0.0
16,,,,False,/a4VvcWjb7elnEgCrWIqAEXo7jDy.jpg,,0.0,"[{'id': 35, 'name': '코미디'}, {'id': 16, 'name': '애니메이션'}]",,710016.0,tt13795902,en,GNT,,0.662,/nse6T32o00GfOjfrJbqrhque5di.jpg,"[{'id': 109269, 'logo_path': None, 'name': 'UTS', 'origin_country': ''}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}]",2020-06-10,0.0,4.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,GNT,False,1.0,1.0
17,,,,True,,,0.0,[],,710017.0,,en,Neighbor Affair 42,,0.616,/cLwoBrq7AFwP4yQ3Sre7t8LtKL3.jpg,"[{'id': 6316, 'logo_path': '/5ZbxuiVfz8g5gBNrrmXLfuCapP9.png', 'name': 'Naughty America', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2020-01-01,0.0,0.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Neighbor Affair 42,False,0.0,0.0
18,,,,True,,,0.0,[],,710018.0,,en,Forgotten Treasures,,0.6,/afXKX2drjTN82U5OdcXR5XOGHLS.jpg,"[{'id': 8773, 'logo_path': '/hqvLVeaqfTg5dr8310X4EBxwRwi.png', 'name': 'BelAmi Entertainment', 'origin_country': 'CZ'}]","[{'iso_3166_1': 'CZ', 'name': 'Czech Republic'}]",2019-06-07,0.0,115.0,"[{'english_name': 'Czech', 'iso_639_1': 'cs', 'name': 'Český'}]",Released,,Forgotten Treasures,True,8.0,2.0
19,,,,False,,,0.0,"[{'id': 27, 'name': '공포'}, {'id': 35, 'name': '코미디'}, {'id': 53, 'name': '스릴러'}]",,710019.0,tt10979176,en,Birthday Bash,,0.6,/qcILpjD1vEhbUFkFsoLJvjct2Tq.jpg,"[{'id': 136346, 'logo_path': None, 'name': 'Filmdrome Inc', 'origin_country': ''}]",[],2018-04-13,0.0,16.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Birthday Bash,False,0.0,0.0
